tj_id,player_mlb_org,player_pos,player_age,player_jersey
seiyasuzuki,CHC,DH,31,27
geraldoperdomo,ARI,SS,26,2
nathaneovaldi,TEX,SP,36,17
petealonso,BAL,1B,31,25
trevormegill,MIL,RP,32,29
ryanpepiot,TBR,SP,28,44
nickkurtz,ATH,1B,23,16
brandonnimmo,TEX,OF,33,24
carlosestevez,KCR,RP,33,53
shealangeliers,ATH,C,28,23
kylebradish,BAL,SP,29,38
treaturner,PHI,SS,33,7
jameswood,WSN,OF,23,29
jeffhoffman,TOR,RP,33,23
spencerstrider,ATL,SP,27,99
randyarozarena,SEA,OF,31,56
brandonwoodruff,MIL,SP,33,53
ozziealbies,ATL,2B,29,1
willsmith1,LAD,C,31,16
bryceharper,PHI,1B,33,3
christianyelich,MIL,DH,34,22
luiscastillo,SEA,SP,33,58
petefairbanks,MIA,RP,32,29
drakebaldwin,ATL,C,25,30
tylerglasnow,LAD,SP,32,31
taylorward,BAL,OF,32,3
kenleyjansen,DET,RP,38,74
rafaeldevers,SFG,DH,29,16
rileygreene,DET,OF,25,31
freddiefreeman,LAD,1B,36,5
briceturang,MIL,2B,26,2
ryanhelsley,BAL,RP,31,21
ianhapp,CHC,OF,31,8
gleybertorres,DET,2B,29,25
romananthony,BOS,OF,22,19
bobichette,NYM,SS,28,19
pablolopez,MIN,SP,30,49
maikelgarcia,KCR,3B,26,11
emiliopagan,CIN,RP,35,15
mattchapman,SFG,3B,33,26
joshnaylor,SEA,1B,29,12
danielpalencia,CHC,RP,26,48
juricksonprofar,ATL,OF,33,17
vinniepasquantino,KCR,1B,28,9
adleyrutschman,BAL,C,28,35
salvadorperez,KCR,C,36,13
euryperez,MIA,SP,23,39
tannerbibee,CLE,SP,27,28
eugeniosuarez,CIN,3B,34,28
teoscarhernandez,LAD,OF,33,37
yainerdiaz,HOU,C,27,21
griffinjax,TBR,RP,31,22
marcussemien,NYM,2B,35,10
andypages,LAD,OF,25,44
robertsuarez,ATL,RP,35,75
isaacparedes,HOU,3B,27,15
shotaimanaga,CHC,SP,32,18
jacksonholliday,BAL,2B,22,7
gavinwilliams,CLE,SP,26,32
coreyseager,TEX,SS,32,5
bryanabreu,HOU,RP,29,52
abneruribe,MIL,RP,26,45
michaelking,SDP,SP,31,34
byronbuxton,MIN,OF,32,25
agustinramirez,MIA,C,24,50
ryanwalker,SFG,RP,30,74
jacobmisiorowski,MIL,SP,24,32
willyadames,SFG,SS,30,2
brysonstott,PHI,2B,28,5
jordanwestburg,BAL,3B,27,11
willvest,DET,RP,31,19
yandydiaz,TBR,DH,34,2
emmetsheehan,LAD,SP,26,80
bryanreynolds,PIT,OF,31,10
nicklodolo,CIN,SP,28,40
edwinuceta,TBR,RP,28,63
michaelharrisii,ATL,OF,25,23
zacgallen,FA,SP,30,23
christianwalker,HOU,1B,35,8
oneilcruz,PIT,OF,27,15
calebdurbin,MIL,3B,26,21
chaseburns,CIN,SP,23,26
brendandonovan,SEA,2B,29,33
camschlittler,NYY,SP,25,31
jeremypena,HOU,SS,28,3
rangersuarez,BOS,SP,30,55
joadell,LAA,OF,27,7
jackflaherty,DET,SP,30,9
huntergoodman,COL,C,26,15
shanebieber,TOR,SP,31,57
salfrelick,MIL,OF,26,10
granttaylor,CHW,RP,24,31
jacobwilson,ATH,SS,24,5
mackenziegore,TEX,SP,27,1
matthewboyd,CHC,SP,35,16
robbieray,SFG,SP,34,38
andrewabbott,CIN,SP,27,41
jeremiahestrada,SDP,RP,27,56
alecbohm,PHI,3B,29,28
cjabrams,WSN,SS,25,5
luisgarciajr,WSN,2B,26,2
lukekeaschall,MIN,2B,23,15
tannerscott,LAD,RP,31,66
dennissantana,PIT,RP,30,60
sandyalcantara,MIA,SP,30,22
nolanmclean,NYM,SP,24,26
mattbrash,SEA,RP,28,47
roycelewis,MIN,3B,27,23
aaronnola,PHI,SP,33,27
brandonlowe,PIT,2B,31,5
drewrasmussen,TBR,SP,30,57
chandlersimpson,TBR,OF,25,14
maxmuncy,LAD,3B,35,13
trevorrogers,BAL,SP,28,28
merrillkelly,ARI,SP,37,29
ceddannerafaela,BOS,OF,25,3
junghoolee,SFG,OF,27,51
garrettwhitlock,BOS,RP,30,22
shanebaz,BAL,SP,27,34
xavieredwards,MIA,2B,26,9
treyyesavage,TOR,SP,22,39
zachneto,LAA,SS,25,9
jordanleasure,CHW,RP,27,49
dansbyswanson,CHC,SS,32,7
jakobmarsee,MIA,OF,25,87
mattshaw,CHC,3B,24,6
lukeweaver,NYM,RP,32,30
andrewkittredge,BAL,RP,36,39
troymelton,DET,RP,25,52
krisbubic,KCR,SP,28,50
alejandrokirk,TOR,C,27,30
kerrycarpenter,DET,OF,28,30
kylefinnegan,DET,RP,34,67
noahcameron,KCR,SP,26,65
philmaton,CHC,RP,33,88
marcellozuna,FA,DH,35,20
mattstrahm,KCR,RP,34,25
cadehorton,CHC,SP,24,22
miguelvargas,CHW,3B,26,20
edwardcabrera,CHC,SP,28,30
camilodoval,NYY,RP,28,75
jorgepolanco,NYM,DH,32,11
daultonvarsho,TOR,OF,29,5
noelvimarte,CIN,OF,24,4
adrianmorejon,SDP,RP,27,50
bubbachandler,PIT,SP,23,57
stevenmatz,TBR,RP,35,41
daylenlile,WSN,OF,23,4
wilyerabreu,BOS,OF,27,52
heliotramos,SFG,OF,26,17
joseferrer,SEA,RP,26,45
connellyearly,BOS,SP,24,71
bradkeller,PHI,RP,30,40
josesoriano,LAA,SP,27,59
lawrencebutler,ATH,OF,25,4
jakecronenworth,SDP,2B,32,9
carlosrodon,NYY,SP,33,55
jojoromero,STL,RP,29,59
spencertorkelson,DET,1B,26,20
garrettcleavinger,TBR,RP,32,60
nolanarenado,ARI,3B,35,28
trevorstory,BOS,SS,33,10
kylestowers,MIA,OF,28,28
tommyedman,LAD,2B,31,25
robertgarcia,TEX,RP,30,62
tjfriedl,CIN,OF,30,29
mitchkeller,PIT,SP,30,23
huntergaddis,CLE,RP,28,33
robertstephenson,LAA,RP,33,24
alexvesia,LAD,RP,30,51
baileyober,MIN,SP,30,17
luisrobertjr,NYM,OF,28,88
tonysantillan,CIN,RP,29,64
adolisgarcia,PHI,OF,33,53
calvinfaucher,MIA,RP,30,53
brycemiller,SEA,SP,27,50
rileyobrien,STL,RP,31,61
miketrout,LAA,DH,34,27
ernieclement,TOR,3B,30,22
bradysinger,CIN,SP,29,51
xanderbogaerts,SDP,SS,33,2
trentgrisham,NYY,OF,29,12
shawnarmstrong,CLE,RP,35,43
alecburleson,STL,OF,27,41
jassondominguez,NYY,OF,23,24
colesands,MIN,RP,28,44
kirbyyates,LAA,RP,39,39
yuseikikuchi,LAA,SP,35,16
coltkeith,DET,DH,24,33
cedricmullins,TBR,OF,31,31
aaronashby,MIL,RP,28,26
dylancrews,WSN,OF,24,3
kodaisenga,NYM,SP,33,34
yimigarcia,TOR,RP,35,93
anthonysantander,TOR,DH,31,25
seranthonydominguez,CHW,RP,31,58
ivanherrera,STL,DH,26,48
carloscorrea,HOU,SS,31,1
jacoblatz,TEX,RP,30,67
mattmclain,CIN,2B,26,9
rynenelson,ARI,SP,28,19
josealvarado,PHI,RP,31,46
brentondoyle,COL,OF,28,9
dylanlee,ATL,RP,31,52
gabrielmoreno,ARI,C,26,14
caseymize,DET,SP,29,12
kyleleahy,STL,RP,29,62
ottolopez,MIA,SS,27,6
jeffmcneil,ATH,2B,34,22
jackleiter,TEX,SP,26,35
tylerrogers,TOR,RP,35,71
michaelbusch,CHC,1B,28,29
tylerholton,DET,RP,30,87
andrewbenintendi,CHW,OF,31,23
gabespeier,SEA,RP,31,55
luisarraez,FA,1B,29,4
reeseolson,DET,SP,26,45
ramonlaureano,SDP,OF,31,5
chrisbassitt,FA,SP,37,40
justinsterner,ATH,RP,29,60
brayanbello,BOS,SP,27,66
ezequieltovar,COL,SS,24,14
markvientos,NYM,3B,26,27
mattsvanson,STL,RP,27,49
seanmanaea,NYM,SP,34,59
loganhenderson,MIL,SP,24,43
larsnootbaar,STL,OF,28,21
clayholmes,NYM,SP,33,35
jonathanindia,KCR,2B,29,6
victorvodnik,COL,RP,26,38
jesussanchez,HOU,OF,28,4
sethlugo,KCR,SP,36,67
nickcastellanos,PHI,OF,34,8
benbrown,CHC,SP,26,32
addisonbarger,TOR,3B,26,47
connornorby,MIA,3B,26,1
davidpeterson,NYM,SP,30,23
samuelbasallo,BAL,C,21,29
kevinginkel,ARI,RP,32,37
tylersoderstrom,ATH,OF,24,21
louisvarland,TOR,RP,28,77
michaelwacha,KCR,SP,34,52
lucaserceg,KCR,RP,31,60
jackperkins,ATH,RP,26,50
mickeymoniak,COL,OF,28,22
benjoyce,LAA,RP,25,44
nolanschanuel,LAA,1B,24,18
shelbymiller,FA,RP,35,55
jpcrawford,SEA,SS,31,3
willicastro,COL,OF,29,1
fernandocruz,NYY,RP,36,63
kyleteel,CHW,C,24,8
andrewsaalfrank,ARI,RP,28,27
shanesmith,CHW,SP,26,64
rokisasaki,LAD,SP,24,11
claytonbeeter,WSN,RP,27,39
hoganharris,ATH,RP,29,36
mattwallner,MIN,OF,28,38
sethhalvorsen,COL,RP,26,54
jasonadam,SDP,RP,34,40
masynwinn,STL,SS,24,0
ryanohearn,PIT,1B,32,29
coltoncowser,BAL,OF,26,17
eriksabrowski,CLE,RP,28,62
giancarlostanton,NYY,DH,36,27
gregorysoto,PIT,RP,31,31
jamesontaillon,CHC,SP,34,50
austinwells,NYY,C,26,28
colsonmontgomery,CHW,SS,24,12
orionkerkering,PHI,RP,25,50
josebutto,SFG,RP,28,70
joshlowe,LAA,OF,28,3
braxtonashcraft,PIT,RP,26,67
keeganakin,BAL,RP,31,45
calebthielbar,CHC,RP,39,24
zachmckinstry,DET,3B,31,39
quinnpriester,MIL,SP,25,46
chasemeidroth,CHW,SS,24,10
jackdreyer,LAD,RP,27,86
andresgimenez,TOR,2B,27,0
justintopa,MIN,RP,35,48
spencersteer,CIN,1B,28,7
gavinsheets,SDP,OF,30,30
joeycantillo,CLE,RP,26,54
markleiterjr,ATH,RP,35,38
jaccaglianone,KCR,OF,23,14
josecaballero,NYY,OF,29,72
isaacmattson,PIT,RP,30,72
ericlauer,TOR,SP,31,56
jeffreysprings,ATH,SP,33,59
jaredkoenig,MIL,RP,32,47
brandonpfaadt,ARI,SP,27,32
tylerfreeman,COL,OF,27,2
lenynsosa,CHW,2B,26,50
caseyschmitt,SFG,2B,27,10
tylerkinley,ATL,RP,35,45
jtrealmuto,PHI,C,35,10
brettbaty,NYM,3B,26,7
ianseymour,TBR,RP,27,61
kylemanzardo,CLE,DH,25,9
jorgesoler,LAA,OF,34,12
brookslee,MIN,SS,25,22
lucasgiolito,FA,SP,31,54
zacklittell,FA,SP,30,52
bryanking,HOU,RP,29,74
trevorlarnach,MIN,DH,29,9
brandonmarsh,PHI,OF,28,16
jonahtong,NYM,SP,23,21
luisrengifo,FA,3B,29,2
harrisonbader,SFG,OF,32,9
willsoncontreras,BOS,1B,34,40
bryanbaker,TBR,RP,31,47
ajblubaugh,HOU,RP,25,69
johnschreiber,KCR,RP,32,46
elvisalvarado,ATH,RP,27,61
mikeyastrzemski,ATL,OF,35,18
joshjung,TEX,3B,28,6
jonathanaranda,TBR,1B,28,8
jimmyherget,COL,RP,32,44
willwarren,NYY,SP,27,98
ryanjeffers,MIN,C,29,27
anthonybender,MIA,RP,31,37
evancarter,TEX,OF,23,32
ryanmcmahon,NYY,3B,31,19
brooksraley,NYM,RP,38,25
dylanbeavers,BAL,OF,24,12
hunterharvey,CHC,RP,31,45
justinsteele,CHC,SP,30,35
marcelomayer,BOS,3B,23,11
parkermessick,CLE,SP,25,77
ajminter,NYM,RP,32,33
drewpomeranz,LAA,RP,37,13
austinhays,CHW,OF,30,12
jordanromano,LAA,RP,33,68
eduardbazardo,SEA,RP,30,83
carmenmlodzinski,PIT,RP,27,50
mikeburrows,HOU,SP,26,50
brendonlittle,TOR,RP,29,54
deankremer,BAL,SP,30,64
spencerhorwitz,PIT,1B,28,2
joeyortiz,MIL,SS,27,3
franciscoalvarez,NYM,C,24,4
chrismartin,TEX,RP,40,55
simeonwoodsrichardson,MIN,SP,25,24
stevenokert,HOU,RP,34,48
tyleroneill,BAL,OF,31,9
mattfesta,CLE,RP,33,52
parkermeadows,DET,OF,26,22
braydonfisher,TOR,RP,25,63
carsonkelly,CHC,C,31,15
miguelandujar,FA,3B,31,38
chadpatrick,MIL,SP,27,39
joseberrios,TOR,SP,32,17
connorphillips,CIN,RP,25,34
zacheflin,BAL,SP,32,24
ryanthompson,ARI,RP,34,81
wenceelperez,DET,OF,26,46
ryanweathers,NYY,SP,26,40
justinslaten,BOS,RP,28,63
kebryanhayes,CIN,3B,29,3
blaketreinen,LAD,RP,38,49
jordanbeck,COL,OF,25,27
kodyfunderburk,MIN,RP,29,57
andrewvaughn,MIL,1B,28,28
alexisdiaz,TEX,RP,29,48
dustinmay,STL,SP,28,3
gregweissert,BOS,RP,31,57
isaaccollins,KCR,OF,28,1
paytontolle,BOS,SP,23,70
piercejohnson,CIN,RP,35,52
erikmiller,SFG,RP,28,68
seannewcomb,CHW,RP,33,15
justinwrobleski,LAD,RP,25,70
masonmontgomery,PIT,RP,26,46
ryanzeferjahn,LAA,RP,28,56
haseongkim,ATL,SS,30,7
jordanlawlar,ARI,3B,23,10
dominiccanzone,SEA,OF,28,8
porterhodge,CHC,RP,25,37
tylermahle,SFG,SP,31,54
luisgil,NYY,SP,28,81
nolangorman,STL,3B,26,16
yarielrodriguez,TOR,RP,29,29
jakemeyers,HOU,OF,30,6
grahamashcraft,CIN,RP,28,23
davidrobertson,FA,RP,41,30
michaelmcgreevy,STL,SP,25,36
tylerstephenson,CIN,C,29,37
camsmith,HOU,OF,23,11
bradyhouse,WSN,3B,23,12
coleyoung,SEA,2B,22,2
yenniercano,BAL,RP,32,78
kylekarros,COL,3B,23,12
luisseverino,ATH,SP,32,40
christianmoore,LAA,2B,23,4
masatakayoshida,BOS,DH,32,7
anthonyvolpe,NYY,SS,25,11
jacoblopez,ATH,SP,28,57
ryanyarbrough,NYY,RP,34,33
victorscottii,STL,OF,25,11
keibertruiz,WSN,C,27,20
colinrea,CHC,SP,35,53
maxmuncy1,ATH,3B,23,10
zebbymatthews,MIN,SP,26,52
reiddetmers,LAA,RP,26,48
hobymilner,CHC,RP,35,41
bennettsousa,HOU,RP,31,62
tommynance,TOR,RP,35,45
amedrosario,NYY,3B,30,14
victorrobles,SEA,OF,29,10
reynaldolopez,ATL,SP,32,40
pjpoulin,WSN,RP,29,50
tyleralexander,TEX,RP,31,13
haydenbirdsong,SFG,RP,24,60
jakemangum,PIT,OF,30,28
nickmears,KCR,RP,29,31
nickmartinez,FA,SP,35,28
nickgonzales,PIT,2B,27,3
bencasparius,LAD,RP,27,78
edgarquero,CHW,C,23,7
angelzerpa,MIL,RP,26,61
michaelkopech,FA,RP,30,45
lourdesgurrieljr,ARI,OF,32,12
kristiancampbell,BOS,2B,24,28
justinlawrence,PIT,RP,31,61
carterjensen,KCR,C,22,22
tobiasmyers,NYM,RP,27,32
salstewart,CIN,1B,22,27
mauriciodubon,ATL,OF,31,14
jakeburger,TEX,1B,30,21
edgardohenriquez,LAD,RP,24,60
calebferguson,CIN,RP,29,46
dannycoulombe,FA,RP,36,54
nathanlukes,TOR,OF,31,38
timherrin,CLE,RP,29,29
colehenry,WSN,RP,26,99
branthurter,DET,RP,27,48
maxkepler,FA,OF,33,17
tajbradley,MIN,SP,25,26
loganohoppe,LAA,C,26,14
aaronbummer,ATL,RP,32,49
yoendrysgomez,TBR,RP,26,94
jakobjunis,TEX,RP,33,16
johanoviedo,BOS,SP,28,29
joshbell,MIN,DH,33,56
juanmejia,COL,RP,25,47
yoanmoncada,LAA,3B,31,10
tommykahnle,FA,RP,36,43
tristoncasas,BOS,1B,26,36
tannerbanks,PHI,RP,34,58
michaelsoroka,ARI,SP,28,34
bonaylor,CLE,C,26,23
justinwilson,FA,RP,38,32
jordanwalker,STL,OF,24,18
huascarbrazoban,NYM,RP,36,43
joelpeguero,SFG,RP,29,63
michaelkelly,ATH,RP,33,49
lanethomas,KCR,OF,30,15
davidmorgan,SDP,RP,26,66
tylerwells,BAL,SP,31,68
mikevasil,CHW,RP,26,61
kadestrowd,ARI,RP,28,57
dlhall,MIL,RP,27,37
cadecavalli,WSN,SP,27,24
brayanrocchio,CLE,SS,25,4
gavinlux,TBR,DH,28,11
cristianjavier,HOU,SP,29,53
paulsewald,FA,RP,36,62
michaelmassey,KCR,2B,28,19
brockburke,CIN,RP,29,49
luismatos,SFG,OF,24,29
brandoneisert,CHW,RP,28,53
landenroupp,SFG,SP,27,65
colewinn,TEX,RP,26,60
ianhamilton,ATL,RP,31,71
colinselby,BAL,RP,28,60
scottbarlow,FA,RP,33,58
anthonybanda,LAD,RP,32,43
sladececconi,CLE,SP,27,44
masonenglert,TBR,RP,26,59
ryanfernandez,STL,RP,28,64
cadegibson,MIA,RP,28,58
austinmartin,MIN,OF,27,16
maxmeyer,MIA,SP,27,23
joelpayamps,ATL,RP,32,53
evansisk,PIT,RP,29,48
grahampauley,MIA,3B,25,21
colesulser,TBR,RP,36,71
grantanderson,MIL,RP,29,56
jjbleday,CIN,OF,28,22
dillondingler,DET,C,27,13
taylorrogers,MIN,RP,35,55
blazealexander,BAL,3B,27,9
mattgage,SFG,RP,33,93
seanmurphy,ATL,C,31,12
davisschneider,TOR,OF,27,36
chasesilseth,LAA,RP,26,63
tylerphillips,MIA,RP,28,30
matthewliberatore,STL,SP,26,32
alekthomas,ARI,OF,26,5
wandyperalta,SDP,RP,34,58
ronnymauricio,NYM,3B,25,0
spencerbivens,SFG,RP,32,76
jacobwebb,CHC,RP,32,71
carlosnarvaez,BOS,C,27,75
jakebird,NYY,RP,30,59
cadepovich,BAL,SP,26,37
wikelmangonzalez,CHW,RP,24,66
ryanbrasier,FA,RP,38,54
hunterbigge,TBR,RP,28,43
corbinburnes,ARI,SP,31,39
heribertohernandez,MIA,OF,26,13
daniellynchiv,KCR,RP,29,41
dreyjameson,ARI,RP,28,99
brentsuter,LAA,RP,36,31
tylerferguson,ATH,RP,32,44
javiersanoja,MIA,OF,23,8
sawyergipsonlong,DET,SP,28,66
alexlange,KCR,RP,30,56
dannyjansen,TEX,C,31,33
andrewchafin,FA,RP,36,39
luisgarcia,NYM,RP,39,66
victorcaratini,MIN,C,32,37
dietrichenns,BAL,RP,35,71
grantholmes,ATL,SP,30,66
kylehart,SDP,RP,33,68
ottokemp,PHI,3B,26,4
joeywentz,ATL,RP,28,33
kodyclemens,MIN,1B,30,2
hurstonwaldrep,ATL,SP,24,64
brooksbaldwin,CHW,OF,25,27
luiscurvelo,TEX,RP,25,57
yukimatsui,SDP,RP,30,1
carlosvargas,SEA,RP,26,54
justinverlander,FA,SP,43,35
freddyfermin,SDP,C,31,54
enyeldelossantos,HOU,RP,30,65
ericorze,MIN,RP,28,19
owencaissie,MIA,OF,23,17
adaelamador,COL,2B,23,1
jordanwicks,CHC,RP,26,36
daurimoreta,FA,RP,30,36
jadenhill,COL,RP,26,0
juanmorillo,ARI,RP,27,67
seanburke,CHW,SP,26,59
bryceeldridge,SFG,DH,21,8
jakemccarthy,COL,OF,28,31
timhill,NYY,RP,36,41
rynestanek,STL,RP,34,55
robertgasser,MIL,SP,27,54
ricogarcia,BAL,RP,32,50
spencerarrighetti,HOU,SP,26,41
denzelclarke,ATH,OF,26,1
piersonohl,COL,RP,26,62
luismorales,ATH,SP,23,58
lakebachar,MIA,RP,31,84
joshsmith,TEX,SS,28,8
paulblackburn,NYY,RP,32,58
kalebort,LAA,RP,34,63
jaredtriolo,PIT,SS,28,19
joseleclerc,FA,RP,32,37
patrickbailey,SFG,C,27,14
konnorpilkington,WSN,RP,28,45
davidfesta,MIN,SP,26,58
christophermorel,MIA,OF,27,5
jeremiahjackson,BAL,OF,26,82
jalenbeeks,FA,RP,32,68
osvaldobido,NYY,RP,30,56
liamhicks,MIA,C,27,34
jonathanbowlan,PHI,RP,29,52
kyleharrison,BOS,SP,24,38
tylergilbert,CHW,RP,32,40
jpsears,SDP,SP,30,38
jacobmelton,TBR,OF,25,29
stevencruz,KCR,RP,27,64
nathaniellowe,FA,1B,30,37
alexfreeland,LAD,3B,24,76
jacksonrutledge,WSN,RP,27,44
hyeseongkim,LAD,2B,27,6
jhostynxongarcia,PIT,OF,23,34
maxlazar,PHI,RP,27,60
carsonwilliams,TBR,SS,23,7
masonfluharty,TOR,RP,24,68
jocpederson,TEX,DH,34,4
maxscherzer,FA,SP,41,31
zachcole,HOU,OF,25,16
josesuarez,ATL,SP,28,54
chadgreen,TOR,RP,35,57
oswaldperaza,LAA,3B,26,10
coopercriswell,SEA,SP,29,18
evanphillips,FA,RP,31,59
michaelconforto,FA,OF,33,23
jtginn,ATH,SP,27,35
adrianhouser,SFG,SP,33,12
brenanhanifee,DET,RP,28,75
richiepalacios,TBR,OF,29,1
zackkelly,BOS,RP,31,76
julianfernandez,WSN,RP,30,65
zacharymaxwell,CIN,RP,25,78
jonahheim,FA,C,31,28
kevinkelly,TBR,RP,28,49
rhyshoskins,FA,1B,33,12
taylorclarke,ARI,RP,33,45
tommypham,FA,OF,38,28
mickabel,MIN,SP,24,20
luinderavila,KCR,RP,24,58
angelmartinez,CLE,OF,24,1
ramonurias,FA,3B,32,29
lukejackson,FA,RP,34,77
caseylegumina,SEA,RP,29,64
eduardorodriguez,ARI,SP,33,57
kylenicolas,PIT,RP,27,66
ryanpressly,FA,RP,37,55
zackgelof,ATH,2B,26,20
natepearson,HOU,RP,29,55
carsonwhisenhunt,SFG,SP,25,88
griffinconine,MIA,OF,28,18
gregorysantos,SFG,RP,26,48
bradybasso,ATH,RP,28,66
josecastillo,FA,RP,30,66
rafaelmontero,FA,RP,35,99
nicksandlin,LAA,RP,29,52
ryanborucki,CHW,RP,32,43
dominichamel,NYY,RP,27,53
oswaldocabrera,NYY,3B,27,95
hunterbarco,PIT,SP,25,45
josefermin1,LAA,RP,24,68
yohanramirez,PIT,RP,31,49
chrismurphy,CHW,RP,28,72
miguelamaya,CHC,C,27,9
bradgleyrodriguez,SDP,RP,22,72
kyleisbel,KCR,OF,29,28
bryanhudson,CHW,RP,29,60
brandonsproat,MIL,SP,25,23
zacveen,COL,OF,24,13
jacobyoung,WSN,OF,26,30
brentheadrick,NYY,RP,28,47
beaubrieske,DET,RP,28,4
thairoestrada,FA,2B,30,39
benwilliamson,TBR,3B,25,9
trevormcdonald,SFG,SP,25,72
stevenwilson,TBR,RP,31,24
brennanbernardino,COL,RP,34,83
keatonwinn,SFG,RP,28,67
jordanhicks,CHW,RP,29,46
michelotanez,TEX,RP,28,47
tristanbeck,SFG,RP,30,43
paulgoldschmidt,FA,1B,38,48
danielschneemann,CLE,2B,29,10
daltonrushing,LAD,C,25,68
kumarrocker,TEX,SP,26,80
felixbautista,BAL,RP,31,74
roberthasselliii,WSN,OF,24,6
pavinsmith,ARI,DH,30,26
daysbelhernandez,ATL,RP,29,62
joeboyle,TBR,SP,26,36
jtbrubaker,SFG,RP,32,34
mattvierling,DET,OF,29,8
garrettmitchell,MIL,OF,27,5
trentthornton,FA,RP,32,46
moisesballesteros,CHC,DH,22,25
thomassaggese,STL,2B,24,25
edmundososa,PHI,2B,30,33
travisadams,MIN,RP,26,45
codiheuer,CLE,RP,29,50
georgevalera,CLE,DH,25,7
pauldejong,NYY,3B,32,18
adamfrazier,FA,2B,34,26
shawndubin,ARI,RP,30,65
colinholderman,CLE,RP,30,35
sammoll,CIN,RP,34,50
gordongraceffo,STL,RP,26,44
javierbaez,DET,SS,33,28
yerrydelossantos,NYY,RP,28,73
aaroncivale,FA,SP,31,38
chaseshugart,PHI,RP,29,55
codylaweryson,FA,RP,28,66
jorgealcala,TOR,RP,30,56
dylandodd,ATL,RP,28,46
dylanmoore,PHI,2B,33,25
kylebackhus,PHI,RP,28,43
zachagnos,COL,RP,25,36
johnrooney,TBR,RP,29,67
connorbrogdon,CLE,RP,31,75
davidfry,CLE,DH,30,6
harryford,WSN,C,23,17
andrewalvarez,WSN,SP,27,54
ryanmountcastle,BAL,1B,29,6
valentebellozo,COL,RP,26,83
luismey,CIN,RP,25,47
jakefraley,TBR,OF,31,17
ronmarinaccio,SDP,RP,30,97
richardfitts,STL,SP,26,35
timmayza,PHI,RP,34,54
lukelittle,CHC,RP,25,43
jonathanloaisiga,ARI,RP,31,43
joshsimpson,MIA,RP,28,66
drewgilbert,SFG,OF,25,1
maximoacosta,MIA,3B,23,24
ryangusto,MIA,SP,27,65
brockstewart,LAD,RP,34,41
richardlovelady,WSN,RP,30,74
loganallen1,CLE,SP,27,26
chrisroycroft,STL,RP,29,58
yaramilhiraldo,BAL,RP,30,76
pedropages,STL,C,27,43
jonathanpintaro,NYM,SP,28,91
joshwinckowski,FA,RP,28,25
davismartin,CHW,SP,29,65
romygonzalez,BOS,1B,29,23
jovanimoran,BOS,RP,29,47
loutrivino,FA,RP,34,57
nickyorke,PIT,2B,24,38
