pick_id,year,round,order,picking_team_id,picking_team_abbr,original_team_id,original_team_abbr,traded_team_id,traded_team_abbr
2026_cs_10,2026,10,9,10,cs,10,cs,,
2026_yb_10,2026,10,10,9,yb,9,yb,,
2026_cr_10,2026,10,11,1,cr,1,cr,,
2026_dct_10,2026,10,12,8,dct,8,dct,,
2026_mj_11,2026,11,1,19,mj,19,mj,,
2026_orl_11,2026,11,2,6,orl,6,orl,,
2026_wcs_11,2026,11,3,20,wcs,20,wcs,,
2026_sf_11,2026,11,4,2,sf,2,sf,,
2026_rw_11,2026,11,5,4,rw,4,rw,,
2026_bs_11,2026,11,6,3,bs,3,bs,,
2026_det_11,2026,11,7,5,det,5,det,,
2026_sz_11,2026,11,8,7,sz,7,sz,,
2026_cs_11,2026,11,9,10,cs,10,cs,,
2026_yb_11,2026,11,10,9,yb,9,yb,,
2026_cr_11,2026,11,11,1,cr,1,cr,,
2026_dct_11,2026,11,12,8,dct,8,dct,,
2026_mj_12,2026,12,1,19,mj,19,mj,,
2026_orl_12,2026,12,2,6,orl,6,orl,,
2026_wcs_12,2026,12,3,20,wcs,20,wcs,,
2026_sf_12,2026,12,4,2,sf,2,sf,,
2026_rw_12,2026,12,5,4,rw,4,rw,,
2026_bs_12,2026,12,6,3,bs,3,bs,,
2026_det_12,2026,12,7,5,det,5,det,,
2026_sz_12,2026,12,8,7,sz,7,sz,,
2026_cs_12,2026,12,9,10,cs,10,cs,,
2026_yb_12,2026,12,10,9,yb,9,yb,,
2026_cr_12,2026,12,11,1,cr,1,cr,,
2026_dct_12,2026,12,12,8,dct,8,dct,,
2026_mj_13,2026,13,1,19,mj,19,mj,,
2026_orl_13,2026,13,2,6,orl,6,orl,,
2026_wcs_13,2026,13,3,20,wcs,20,wcs,,
2026_sf_13,2026,13,4,2,sf,2,sf,,
2026_rw_13,2026,13,5,4,rw,4,rw,,
2026_bs_13,2026,13,6,3,bs,3,bs,,
2026_det_13,2026,13,7,5,det,5,det,,
2026_sz_13,2026,13,8,7,sz,7,sz,,
2026_cs_13,2026,13,9,10,cs,10,cs,,
2026_yb_13,2026,13,10,9,yb,9,yb,,
2026_cr_13,2026,13,11,1,cr,1,cr,,
2026_dct_13,2026,13,12,8,dct,8,dct,,
2026_mj_14,2026,14,1,19,mj,19,mj,,
2026_orl_14,2026,14,2,6,orl,6,orl,,
2026_wcs_14,2026,14,3,20,wcs,20,wcs,,
2026_sf_14,2026,14,4,2,sf,2,sf,,
2026_rw_14,2026,14,5,4,rw,4,rw,,
2026_bs_14,2026,14,6,3,bs,3,bs,,
2026_det_14,2026,14,7,5,det,5,det,,
2026_sz_14,2026,14,8,7,sz,7,sz,,
2026_cs_14,2026,14,9,10,cs,10,cs,,
2026_yb_14,2026,14,10,9,yb,9,yb,,
2026_cr_14,2026,14,11,1,cr,1,cr,,
2026_dct_14,2026,14,12,8,dct,8,dct,,
2026_mj_15,2026,15,1,19,mj,19,mj,,
2026_orl_15,2026,15,2,6,orl,6,orl,,
2026_wcs_15,2026,15,3,20,wcs,20,wcs,,
2026_sf_15,2026,15,4,2,sf,2,sf,,
2026_rw_15,2026,15,5,4,rw,4,rw,,
2026_bs_15,2026,15,6,3,bs,3,bs,,
2026_det_15,2026,15,7,5,det,5,det,,
2026_sz_15,2026,15,8,7,sz,7,sz,,
2026_cs_15,2026,15,9,10,cs,10,cs,,
2026_yb_15,2026,15,10,9,yb,9,yb,,
2026_cr_15,2026,15,11,1,cr,1,cr,,
2026_dct_15,2026,15,12,8,dct,8,dct,,
