tjid,fgId,MLBAMID,espnId,NameASCII,C,1B,2B,SS,3B,OF,Util,SP,RP
spencerschwellenbach,31846,680885,4424862,Spencer Schwellenbach,False,False,False,False,False,False,False,True,False
mattolson,14344,621566,32767,Matt Olson,False,True,False,False,False,False,True,False,False
jazzchisholmjr,20454,665862,41433,Jazz Chisholm Jr.,False,False,True,False,True,False,True,False,False
benrice,29576,700250,5016968,Ben Rice,True,True,False,False,False,False,True,False,False
davidbednar,19569,670280,38303,David Bednar,False,False,False,False,False,False,False,False,True
petecrowarmstrong,27769,691718,4717833,Pete Crow-Armstrong,False,False,False,False,False,True,True,False,False
raiseliglesias,17130,628452,33618,Raisel Iglesias,False,False,False,False,False,False,False,False,True
jesusluzardo,19959,666200,39667,Jesus Luzardo,False,False,False,False,False,False,False,True,False
stevenkwan,24610,680757,41996,Steven Kwan,False,False,False,False,False,True,True,False,False
wyattlangford,33333,694671,4719324,Wyatt Langford,False,False,False,False,False,True,True,False,False
seiyasuzuki,30116,673548,4142424,Seiya Suzuki,False,False,False,False,False,True,True,False,False
geraldoperdomo,22799,672695,41355,Geraldo Perdomo,False,False,False,True,False,False,True,False,False
nathaneovaldi,9132,543135,31174,Nathan Eovaldi,False,False,False,False,False,False,False,True,False
petealonso,19251,624413,37498,Pete Alonso,False,True,False,False,False,False,True,False,False
trevormegill,17722,656730,40080,Trevor Megill,False,False,False,False,False,False,False,False,True
ryanpepiot,26221,686752,4208281,Ryan Pepiot,False,False,False,False,False,False,False,True,False
nickkurtz,35110,701762,4966637,Nick Kurtz,False,True,False,False,False,False,True,False,False
brandonnimmo,12927,607043,32159,Brandon Nimmo,False,False,False,False,False,True,True,False,False
carlosestevez,14542,608032,34861,Carlos Estevez,False,False,False,False,False,False,False,False,True
shealangeliers,25816,669127,42598,Shea Langeliers,True,False,False,False,False,False,True,False,False
kylebradish,24586,680694,4311625,Kyle Bradish,False,False,False,False,False,False,False,True,False
treaturner,16252,607208,33710,Trea Turner,False,False,False,True,False,False,True,False,False
jameswood,29518,695578,4918256,James Wood,False,False,False,False,False,True,True,False,False
jeffhoffman,17432,656546,33841,Jeff Hoffman,False,False,False,False,False,False,False,False,True
spencerstrider,27498,675911,4307825,Spencer Strider,False,False,False,False,False,False,False,True,False
randyarozarena,19290,668227,36488,Randy Arozarena,False,False,False,False,False,True,True,False,False
brandonwoodruff,16162,605540,37515,Brandon Woodruff,False,False,False,False,False,False,False,True,False
ozziealbies,16556,645277,33783,Ozzie Albies,False,False,True,False,False,False,True,False,False
willsmith1,19197,669257,38309,Will Smith,True,False,False,False,False,False,True,False,False
bryceharper,11579,547180,30951,Bryce Harper,False,True,False,False,False,False,True,False,False
christianyelich,11477,592885,31283,Christian Yelich,False,False,False,False,False,False,True,False,False
luiscastillo,15689,622491,35124,Luis Castillo,False,False,False,False,False,False,False,True,False
petefairbanks,17998,664126,42180,Pete Fairbanks,False,False,False,False,False,False,False,False,True
drakebaldwin,31539,686948,4810190,Drake Baldwin,True,False,False,False,False,False,True,False,False
tylerglasnow,14374,607192,33190,Tyler Glasnow,False,False,False,False,False,False,False,True,False
taylorward,17548,621493,34923,Taylor Ward,False,False,False,False,False,True,True,False,False
kenleyjansen,3096,445276,29630,Kenley Jansen,False,False,False,False,False,False,False,False,True
rafaeldevers,17350,646240,33859,Rafael Devers,False,True,False,False,False,False,True,False,False
rileygreene,25976,682985,42179,Riley Greene,False,False,False,False,False,True,True,False,False
freddiefreeman,5361,518692,30193,Freddie Freeman,False,True,False,False,False,False,True,False,False
briceturang,22186,668930,41179,Brice Turang,False,False,True,False,False,False,True,False,False
ryanhelsley,18138,664854,39909,Ryan Helsley,False,False,False,False,False,False,False,False,True
ianhapp,17919,664023,34945,Ian Happ,False,False,False,False,False,True,True,False,False
gleybertorres,16997,650402,33804,Gleyber Torres,False,False,True,False,False,False,True,False,False
romananthony,31812,701350,5080767,Roman Anthony,False,False,False,False,False,True,True,False,False
bobichette,19612,666182,38904,Bo Bichette,False,False,False,True,False,False,True,False,False
pablolopez,17085,641154,39671,Pablo Lopez,False,False,False,False,False,False,False,True,False
maikelgarcia,22715,672580,4905884,Maikel Garcia,False,False,False,False,True,False,True,False,False
emiliopagan,14771,641941,33403,Emilio Pagan,False,False,False,False,False,False,False,False,True
mattchapman,16505,656305,33857,Matt Chapman,False,False,False,False,True,False,True,False,False
joshnaylor,18839,647304,35066,Josh Naylor,False,True,False,False,False,False,True,False,False
danielpalencia,27914,694037,4875225,Daniel Palencia,False,False,False,False,False,False,False,False,True
juricksonprofar,10815,595777,31117,Jurickson Profar,False,False,False,False,False,True,True,False,False
vinniepasquantino,27676,686469,4109109,Vinnie Pasquantino,False,True,False,False,False,False,True,False,False
adleyrutschman,26288,668939,42178,Adley Rutschman,True,False,False,False,False,False,True,False,False
salvadorperez,7304,521692,31127,Salvador Perez,True,True,False,False,False,False,True,False,False
euryperez,27768,691587,4917854,Eury Perez,False,False,False,False,False,False,False,True,False
tannerbibee,30134,676440,4345278,Tanner Bibee,False,False,False,False,False,False,False,True,False
eugeniosuarez,12552,553993,32367,Eugenio Suarez,False,False,False,False,True,False,True,False,False
teoscarhernandez,13066,606192,33377,Teoscar Hernandez,False,False,False,False,False,True,True,False,False
yainerdiaz,23003,673237,4781491,Yainer Diaz,True,False,False,False,False,False,True,False,False
griffinjax,20253,643377,42604,Griffin Jax,False,False,False,False,False,False,False,False,True
marcussemien,12533,543760,32146,Marcus Semien,False,False,True,False,False,False,True,False,False
andypages,24816,681624,42468,Andy Pages,False,False,False,False,False,True,True,False,False
robertsuarez,30115,663158,4148749,Robert Suarez,False,False,False,False,False,False,False,False,True
isaacparedes,20036,670623,39706,Isaac Paredes,False,False,False,False,True,False,True,False,False
shotaimanaga,33829,684007,5134630,Shota Imanaga,False,False,False,False,False,False,False,True,False
jacksonholliday,31781,702616,5080633,Jackson Holliday,False,False,True,False,False,False,True,False,False
gavinwilliams,30122,668909,4345076,Gavin Williams,False,False,False,False,False,False,False,True,False
coreyseager,13624,608369,32691,Corey Seager,False,False,False,True,False,False,True,False,False
bryanabreu,16609,650556,41208,Bryan Abreu,False,False,False,False,False,False,False,False,True
abneruribe,25327,682842,4917865,Abner Uribe,False,False,False,False,False,False,False,False,True
michaelking,19853,650633,40429,Michael King,False,False,False,False,False,False,False,True,False
byronbuxton,14161,621439,32655,Byron Buxton,False,False,False,False,False,True,True,False,False
agustinramirez,26546,682663,5132014,Agustin Ramirez,True,False,False,False,False,False,True,False,False
ryanwalker,20423,676254,5000950,Ryan Walker,False,False,False,False,False,False,False,False,True
jacobmisiorowski,31623,694819,5080761,Jacob Misiorowski,False,False,False,False,False,False,False,True,False
willyadames,15986,642715,33675,Willy Adames,False,False,False,True,False,False,True,False,False
brysonstott,26294,681082,42417,Bryson Stott,False,False,True,False,False,False,True,False,False
jordanwestburg,27815,676059,4298641,Jordan Westburg,False,False,False,False,True,False,True,False,False
willvest,19769,676684,41606,Will Vest,False,False,False,False,False,False,False,False,True
yandydiaz,16578,650490,33481,Yandy Diaz,False,True,False,False,False,False,True,False,False
emmetsheehan,29839,686218,4417806,Emmet Sheehan,False,False,False,False,False,False,False,True,False
bryanreynolds,19326,668804,38980,Bryan Reynolds,False,False,False,False,False,True,True,False,False
nicklodolo,26378,666157,42433,Nick Lodolo,False,False,False,False,False,False,False,True,False
edwinuceta,20539,670955,41308,Edwin Uceta,False,False,False,False,False,False,False,False,True
michaelharrisii,25931,671739,42470,Michael Harris II,False,False,False,False,False,True,True,False,False
zacgallen,19291,668678,39910,Zac Gallen,False,False,False,False,False,False,False,True,False
christianwalker,13419,572233,32758,Christian Walker,False,True,False,False,False,False,True,False,False
oneilcruz,21711,665833,39712,Oneil Cruz,False,False,False,False,False,True,True,False,False
calebdurbin,29646,702332,5007615,Caleb Durbin,False,False,False,False,True,False,True,False,False
chaseburns,35333,695505,4927516,Chase Burns,False,False,False,False,False,False,False,True,False
brendandonovan,24679,680977,41773,Brendan Donovan,False,False,True,False,False,False,True,False,False
camschlittler,32095,693645,5134581,Cam Schlittler,False,False,False,False,False,False,False,True,False
jeremypena,21636,665161,41273,Jeremy Pena,False,False,False,True,False,False,True,False,False
rangersuarez,17277,624133,39817,Ranger Suarez,False,False,False,False,False,False,False,True,False
joadell,20220,666176,40854,Jo Adell,False,False,False,False,False,True,True,False,False
jackflaherty,17479,656427,33837,Jack Flaherty,False,False,False,False,False,False,False,True,False
huntergoodman,29715,696100,4416591,Hunter Goodman,True,False,False,False,False,False,True,False,False
shanebieber,19427,669456,40912,Shane Bieber,False,False,False,False,False,False,False,True,False
salfrelick,29622,686217,4417795,Sal Frelick,False,False,False,False,False,True,True,False,False
granttaylor,33927,691799,4927630,Grant Taylor,False,False,False,False,False,False,False,False,True
jacobwilson,33266,805779,4719300,Jacob Wilson,False,False,False,True,False,False,True,False,False
mackenziegore,22201,669022,39636,MacKenzie Gore,False,False,False,False,False,False,False,True,False
matthewboyd,15440,571510,34401,Matthew Boyd,False,False,False,False,False,False,False,True,False
robbieray,11486,592662,32175,Robbie Ray,False,False,False,False,False,False,False,True,False
andrewabbott,29911,671096,4414528,Andrew Abbott,False,False,False,False,False,False,False,True,False
jeremiahestrada,22210,669093,41014,Jeremiah Estrada,False,False,False,False,False,False,False,False,True
alecbohm,21618,664761,41169,Alec Bohm,False,False,False,False,True,False,True,False,False
cjabrams,25768,682928,42402,CJ Abrams,False,False,False,True,False,False,True,False,False
tatsuyaimai,sa3062955,,5330833,Tatsuya Imai,False,False,False,False,False,False,False,True,False
luisgarciajr,20391,671277,40459,Luis Garcia Jr.,False,False,True,False,False,False,True,False,False
lukekeaschall,33321,807712,4977664,Luke Keaschall,False,False,True,False,False,False,True,False,False
tannerscott,17586,656945,35135,Tanner Scott,False,False,False,False,False,False,False,False,True
dennissantana,17878,642701,39801,Dennis Santana,False,False,False,False,False,False,False,False,True
sandyalcantara,18684,645261,35241,Sandy Alcantara,False,False,False,False,False,False,False,True,False
nolanmclean,33703,690997,4433874,Nolan McLean,False,False,False,False,False,False,False,True,False
mattbrash,25756,666374,4894467,Matt Brash,False,False,False,False,False,False,False,False,True
roycelewis,20437,668904,40635,Royce Lewis,False,False,False,False,True,False,True,False,False
aaronnola,16149,605400,33709,Aaron Nola,False,False,False,False,False,False,False,True,False
brandonlowe,18882,664040,39961,Brandon Lowe,False,False,True,False,False,False,True,False,False
drewrasmussen,25385,656876,42584,Drew Rasmussen,False,False,False,False,False,False,False,True,False
chandlersimpson,31912,802415,4679983,Chandler Simpson,False,False,False,False,False,True,True,False,False
maxmuncy,13301,571970,33303,Max Muncy,False,False,False,False,True,False,True,False,False
trevorrogers,22286,669432,39640,Trevor Rogers,False,False,False,False,False,False,False,True,False
merrillkelly,11156,518876,32968,Merrill Kelly,False,False,False,False,False,False,False,True,False
ceddannerafaela,24262,678882,4987382,Ceddanne Rafaela,False,False,True,False,False,True,True,False,False
shanemcclanahan,21483,,41199,Shane McClanahan,False,False,False,False,False,False,False,True,False
junghoolee,33824,808982,5134621,Jung Hoo Lee,False,False,False,False,False,True,True,False,False
garrettwhitlock,20191,676477,39674,Garrett Whitlock,False,False,False,False,False,False,False,False,True
shanebaz,22264,669358,39639,Shane Baz,False,False,False,False,False,False,False,True,False
xavieredwards,22266,669364,41326,Xavier Edwards,False,False,True,True,False,False,True,False,False
treyyesavage,35456,702056,4949041,Trey Yesavage,False,False,False,False,False,False,False,True,False
zachneto,31347,687263,4666100,Zach Neto,False,False,False,True,False,False,True,False,False
jordanleasure,29950,673929,5132121,Jordan Leasure,False,False,False,False,False,False,False,False,True
dansbyswanson,18314,621020,34895,Dansby Swanson,False,False,False,True,False,False,True,False,False
jakobmarsee,31370,805300,4866735,Jakob Marsee,False,False,False,False,False,True,True,False,False
mattshaw,33322,807713,4867667,Matt Shaw,False,False,False,False,True,False,True,False,False
lukeweaver,16918,596133,33770,Luke Weaver,False,False,False,False,False,False,False,False,True
andrewkittredge,12828,552640,35872,Andrew Kittredge,False,False,False,False,False,False,False,False,True
troymelton,31807,675512,5294127,Troy Melton,False,False,False,False,False,False,False,False,True
krisbubic,21455,663460,41201,Kris Bubic,False,False,False,False,False,False,False,True,False
alejandrokirk,22581,672386,42081,Alejandro Kirk,True,False,False,False,False,False,True,False,False
kerrycarpenter,25961,681481,42714,Kerry Carpenter,False,False,False,False,False,True,True,False,False
kylefinnegan,15009,640448,36543,Kyle Finnegan,False,False,False,False,False,False,False,False,True
noahcameron,30184,702070,4417208,Noah Cameron,False,False,False,False,False,False,False,True,False
philmaton,18064,664208,36161,Phil Maton,False,False,False,False,False,False,False,False,True
marcellozuna,10324,542303,31668,Marcell Ozuna,False,False,False,False,False,False,True,False,False
mattstrahm,13799,621381,34862,Matt Strahm,False,False,False,False,False,False,False,False,True
cadehorton,31872,690990,4692526,Cade Horton,False,False,False,False,False,False,False,True,False
miguelvargas,20178,678246,42453,Miguel Vargas,False,True,False,False,True,False,True,False,False
edwardcabrera,21690,665795,40944,Edward Cabrera,False,False,False,False,False,False,False,True,False
camilodoval,21992,666808,41337,Camilo Doval,False,False,False,False,False,False,False,False,True
jorgepolanco,13152,593871,32525,Jorge Polanco,False,False,True,False,False,False,True,False,False
daultonvarsho,19918,662139,40963,Daulton Varsho,False,False,False,False,False,True,True,False,False
noelvimarte,26517,682622,41307,Noelvi Marte,False,False,False,False,True,True,True,False,False
adrianmorejon,20039,670970,40917,Adrian Morejon,False,False,False,False,False,False,False,False,True
bubbachandler,29868,696149,4683325,Bubba Chandler,False,False,False,False,False,False,False,True,False
stevenmatz,13361,571927,33106,Steven Matz,False,False,False,False,False,False,False,False,True
daylenlile,29995,695734,4917889,Daylen Lile,False,False,False,False,False,True,True,False,False
wilyerabreu,23772,677800,4990055,Wilyer Abreu,False,False,False,False,False,True,True,False,False
heliotramos,22515,671218,39642,Heliot Ramos,False,False,False,False,False,True,True,False,False
joseferrer,24017,,5119607,Jose Ferrer,False,False,False,False,False,False,False,False,True
connellyearly,33666,813349,4863321,Connelly Early,False,False,False,False,False,False,False,True,False
bradkeller,15734,641745,35292,Brad Keller,False,False,False,False,False,False,False,False,True
josesoriano,22100,667755,40973,Jose Soriano,False,False,False,False,False,False,False,True,False
lawrencebutler,22542,671732,4917919,Lawrence Butler,False,False,False,False,False,True,True,False,False
jakecronenworth,18036,630105,36364,Jake Cronenworth,False,False,True,False,False,False,True,False,False
carlosrodon,16137,607074,33696,Carlos Rodon,False,False,False,False,False,False,False,True,False
jojoromero,19574,668941,40456,JoJo Romero,False,False,False,False,False,False,False,False,True
spencertorkelson,27465,679529,4424286,Spencer Torkelson,False,True,False,False,False,False,True,False,False
garrettcleavinger,17897,664076,36429,Garrett Cleavinger,False,False,False,False,False,False,False,False,True
nolanarenado,9777,571448,31261,Nolan Arenado,False,False,False,False,True,False,True,False,False
trevorstory,12564,596115,32150,Trevor Story,False,False,False,True,False,False,True,False,False
kylestowers,26151,669065,42796,Kyle Stowers,False,False,False,False,False,True,True,False,False
tommyedman,19470,669242,39907,Tommy Edman,False,False,True,False,False,True,True,False,False
robertgarcia,23363,676395,5125167,Robert Garcia,False,False,False,False,False,False,False,False,True
tjfriedl,19522,670770,36020,TJ Friedl,False,False,False,False,False,True,True,False,False
mitchkeller,17594,656605,33722,Mitch Keller,False,False,False,False,False,False,False,True,False
huntergaddis,25636,683769,4187661,Hunter Gaddis,False,False,False,False,False,False,False,False,True
robertstephenson,13594,596112,32134,Robert Stephenson,False,False,False,False,False,False,False,False,True
alexvesia,25007,681911,42622,Alex Vesia,False,False,False,False,False,False,False,False,True
baileyober,21224,641927,3107919,Bailey Ober,False,False,False,False,False,False,False,True,False
luisrobertjr,20043,673357,39631,Luis Robert Jr.,False,False,False,False,False,True,True,False,False
tonysantillan,19926,663574,40950,Tony Santillan,False,False,False,False,False,False,False,False,True
adolisgarcia,19287,666969,35537,Adolis Garcia,False,False,False,False,False,True,True,False,False
calvinfaucher,20116,676534,3978173,Calvin Faucher,False,False,False,False,False,False,False,False,True
brycemiller,29837,682243,4654313,Bryce Miller,False,False,False,False,False,False,False,True,False
rileyobrien,20348,676617,41509,Riley O'Brien,False,False,False,False,False,False,False,False,True
miketrout,10155,545361,30836,Mike Trout,False,False,False,False,False,True,True,False,False
ernieclement,20352,676391,41287,Ernie Clement,False,False,True,True,True,False,True,False,False
bradysinger,25377,663903,41172,Brady Singer,False,False,False,False,False,False,False,True,False
xanderbogaerts,12161,593428,31606,Xander Bogaerts,False,False,False,True,False,False,True,False,False
trentgrisham,18564,663757,34995,Trent Grisham,False,False,False,False,False,True,True,False,False
shawnarmstrong,12857,542888,33499,Shawn Armstrong,False,False,False,False,False,False,False,False,True
alecburleson,27615,676475,4345070,Alec Burleson,False,True,False,False,False,True,True,False,False
jassondominguez,28080,691176,42401,Jasson Dominguez,False,False,False,False,False,True,True,False,False
colesands,21461,663485,3983841,Cole Sands,False,False,False,False,False,False,False,False,True
kirbyyates,9073,489446,32623,Kirby Yates,False,False,False,False,False,False,False,False,True
yuseikikuchi,20633,579328,41415,Yusei Kikuchi,False,False,False,False,False,False,False,True,False
coltkeith,27899,690993,4683384,Colt Keith,False,False,True,False,True,False,True,False,False
cedricmullins,17929,656775,35578,Cedric Mullins,False,False,False,False,False,True,True,False,False
aaronashby,23550,676879,41325,Aaron Ashby,False,False,False,False,False,False,False,False,True
dylancrews,33541,686611,4719511,Dylan Crews,False,False,False,False,False,True,True,False,False
kodaisenga,31838,673540,4142421,Kodai Senga,False,False,False,False,False,False,False,True,False
yimigarcia,12095,554340,32888,Yimi Garcia,False,False,False,False,False,False,False,False,True
joemusgrove,12970,605397,34848,Joe Musgrove,False,False,False,False,False,False,False,True,False
gerritcole,13125,543037,32081,Gerrit Cole,False,False,False,False,False,False,False,True,False
anthonysantander,14551,623993,36084,Anthony Santander,False,False,False,False,False,True,True,False,False
seranthonydominguez,19249,622554,37793,Seranthony Dominguez,False,False,False,False,False,False,False,False,True
ivanherrera,20599,671056,41889,Ivan Herrera,False,False,False,False,False,False,True,False,False
carloscorrea,14162,621043,32653,Carlos Correa,False,False,False,True,True,False,True,False,False
jacoblatz,21306,656641,3210625,Jacob Latz,False,False,False,False,False,False,False,True,True
mattmclain,29695,680574,4422899,Matt McLain,False,False,True,False,False,False,True,False,False
rynenelson,26253,669194,4916269,Ryne Nelson,False,False,False,False,False,False,False,True,True
josealvarado,17780,621237,36063,Jose Alvarado,False,False,False,False,False,False,False,False,True
brentondoyle,25479,686668,42462,Brenton Doyle,False,False,False,False,False,True,True,False,False
dylanlee,19996,669276,41455,Dylan Lee,False,False,False,False,False,False,False,False,True
gabrielmoreno,22664,672515,42464,Gabriel Moreno,True,False,False,False,False,False,True,False,False
caseymize,20492,663554,41167,Casey Mize,False,False,False,False,False,False,False,True,False
kyleleahy,24763,681517,5006093,Kyle Leahy,False,False,False,False,False,False,False,False,True
ottolopez,19608,672640,41917,Otto Lopez,False,False,True,True,False,False,True,False,False
jeffmcneil,15362,643446,33900,Jeff McNeil,False,False,True,False,False,True,True,False,False
jackleiter,30146,683004,4622181,Jack Leiter,False,False,False,False,False,False,False,True,False
tylerrogers,15541,643511,34026,Tyler Rogers,False,False,False,False,False,False,False,False,True
michaelbusch,26319,683737,42415,Michael Busch,False,True,False,False,False,False,True,False,False
tylerholton,26231,663947,3983833,Tyler Holton,False,False,False,False,False,False,False,True,True
andrewbenintendi,17901,643217,34986,Andrew Benintendi,False,False,False,False,False,True,True,False,False
codyponce,17920,,34999,Cody Ponce,False,False,False,False,False,False,False,True,False
gabespeier,17170,642100,40327,Gabe Speier,False,False,False,False,False,False,False,False,True
luisarraez,18568,650333,39572,Luis Arraez,False,True,False,False,False,False,True,False,False
reeseolson,24968,681857,4734319,Reese Olson,False,False,False,False,False,False,False,True,False
ramonlaureano,17128,657656,35142,Ramon Laureano,False,False,False,False,False,True,True,False,False
chrisbassitt,12304,605135,33148,Chris Bassitt,False,False,False,False,False,False,False,True,False
justinsterner,27694,686993,4307467,Justin Sterner,False,False,False,False,False,False,False,False,True
brayanbello,23920,678394,4720856,Brayan Bello,False,False,False,False,False,False,False,True,False
ezequieltovar,24064,678662,4905919,Ezequiel Tovar,False,False,False,True,False,False,True,False,False
markvientos,22184,668901,41034,Mark Vientos,False,False,False,False,True,False,True,False,False
mattsvanson,29629,694335,4649953,Matt Svanson,False,False,False,False,False,False,False,False,True
seanmanaea,15873,640455,33244,Sean Manaea,False,False,False,False,False,False,False,True,False
loganhenderson,31475,701656,4917878,Logan Henderson,False,False,False,False,False,False,False,True,False
larsnootbaar,21454,663457,4448736,Lars Nootbaar,False,False,False,False,False,True,True,False,False
clayholmes,13649,605280,32827,Clay Holmes,False,False,False,False,False,False,False,True,False
jonathanindia,21523,663697,41171,Jonathan India,False,False,True,False,True,True,True,False,False
victorvodnik,24614,680767,4722599,Victor Vodnik,False,False,False,False,False,False,False,False,True
jesussanchez,19913,660821,39957,Jesus Sanchez,False,False,False,False,False,True,True,False,False
sethlugo,12447,607625,34873,Seth Lugo,False,False,False,False,False,False,False,True,False
nickcastellanos,11737,592206,31187,Nick Castellanos,False,False,False,False,False,True,True,False,False
benbrown,23590,676962,41516,Ben Brown,False,False,False,False,False,False,False,True,True
addisonbarger,24598,680718,4997589,Addison Barger,False,False,False,False,True,True,True,False,False
connornorby,29592,681393,4417606,Connor Norby,False,False,False,False,True,False,True,False,False
davidpeterson,20302,656849,40921,David Peterson,False,False,False,False,False,False,False,True,False
samuelbasallo,28824,694212,4917646,Samuel Basallo,True,False,False,False,False,False,True,False,False
kevinginkel,19876,656464,41432,Kevin Ginkel,False,False,False,False,False,False,False,False,True
tylersoderstrom,27467,691016,4686066,Tyler Soderstrom,False,True,False,False,False,True,True,False,False
louisvarland,27691,686973,4917888,Louis Varland,False,False,False,False,False,False,False,False,True
michaelwacha,14078,608379,32640,Michael Wacha,False,False,False,False,False,False,False,True,False
lucaserceg,19360,668674,36618,Lucas Erceg,False,False,False,False,False,False,False,False,True
jackperkins,31468,678022,4418686,Jack Perkins,False,False,False,False,False,False,False,False,True
mickeymoniak,19956,666160,36181,Mickey Moniak,False,False,False,False,False,True,True,False,False
