,Original Team,team_id,NameASCII,tjid,fgId,type,years,dollars,aa_options,dup,aaa_options,arb_rate
48,The Cheating Raiders,1,Tanner Bibee,tannerbibee,30134,pre_arb,1,1,,FALSE,FALSE,
49,The Cheating Raiders,1,Jason Adam,jasonadam,11861,aaa_opt,1,0,,FALSE,TRUE,
50,The Cheating Raiders,1,Javier Baez,javierbaez,12979,aaa_opt,1,0,,FALSE,TRUE,
51,The Cheating Raiders,1,Michael Conforto,michaelconforto,16376,aaa_opt,1,0,,FALSE,TRUE,
52,The Cheating Raiders,1,Nolan Gorman,nolangorman,22263,aaa_opt,1,0,,FALSE,TRUE,
53,The Cheating Raiders,1,Cade Povich,cadepovich,30055,aa,,0,3,FALSE,FALSE,
54,The Cheating Raiders,1,Chase Dollander,chasedollander,33482,aa,,0,3,FALSE,FALSE,
55,The Cheating Raiders,1,Colson Montgomery,colsonmontgomery,29712,aa,,0,3,FALSE,FALSE,
56,The Cheating Raiders,1,Drew Thorpe,drewthorpe,31967,aa,,0,3,FALSE,FALSE,
57,The Cheating Raiders,1,Edwin Uceta,edwinuceta,20539,aa,,0,3,FALSE,FALSE,
58,The Cheating Raiders,1,Maikel Garcia,maikelgarcia,22715,aa,,0,2,FALSE,FALSE,
59,The Cheating Raiders,1,Matt Shaw,mattshaw,33322,aa,,0,3,FALSE,FALSE,
60,The Cheating Raiders,1,Thomas Harrington,thomasharrington,31989,aa,,0,3,FALSE,FALSE,
61,The Cheating Raiders,1,Tyler Black,tylerblack,29949,aa,,0,3,FALSE,FALSE,
62,The Cheating Raiders,1,Vance Honeycutt,vancehoneycutt,sa3025526,aa,,0,3,FALSE,FALSE,
63,Country Strong,10,Brandon Lowe,brandonlowe,18882,arb3,,0,,FALSE,FALSE,0.8
64,Country Strong,10,Freddy Peralta,freddyperalta,18679,arb3,,0,,FALSE,FALSE,0.8
65,Country Strong,10,Shota Imanaga,shotaimanaga,33829,contract,1,2.35,,FALSE,FALSE,
66,Country Strong,10,Cristopher Sanchez,cristophersanchez,20778,contract,1,1.5,,FALSE,FALSE,
67,Country Strong,10,Jackson Chourio,jacksonchourio,28806,contract,8,1.1,,FALSE,FALSE,
68,Country Strong,10,CJ Abrams,cjabrams,25768,contract,7,1,,FALSE,FALSE,
69,Country Strong,10,Jack Leiter,jackleiter,30146,contract,5,1,,FALSE,FALSE,
70,Country Strong,10,Yoshinobu Yamamoto,yoshinobuyamamoto,33825,contract,3,1,,FALSE,FALSE,
71,Country Strong,10,Felix Bautista,felixbautista,20666,pre_arb,2,1,,FALSE,FALSE,
72,Country Strong,10,Fernando Tatis Jr.,fernandotatisjr,19709,contract,2,1,,FALSE,FALSE,
73,Country Strong,10,Lucas Giolito,lucasgiolito,15474,pre_arb,2,1,,FALSE,FALSE,
74,Country Strong,10,Miguel Vargas,miguelvargas,20178,pre_arb,2,1,,FALSE,FALSE,
75,Country Strong,10,Gunnar Henderson,gunnarhenderson,26289,pre_arb,1,1,,FALSE,FALSE,
76,Country Strong,10,Jacob deGrom,jacobdegrom,10954,contract,1,1,,FALSE,FALSE,
77,Country Strong,10,Eloy Jimenez,eloyjimenez,17484,cut,1,1,,FALSE,FALSE,
78,Country Strong,10,Alejandro Kirk,alejandrokirk,22581,aaa_opt,1,0,,FALSE,TRUE,
79,Country Strong,10,Camilo Doval,camilodoval,21992,aaa_opt,1,0,,FALSE,TRUE,
80,Country Strong,10,Joe Boyle,joeboyle,29608,aaa_opt,1,0,,FALSE,TRUE,
81,Country Strong,10,Josh Smith,joshsmith,26396,aaa_opt,1,0,,FALSE,TRUE,
82,Country Strong,10,Zack Littell,zacklittell,15823,aaa_opt,1,0,,FALSE,TRUE,
83,Country Strong,10,Mike Trout,miketrout,10155,contract,1,5,,FALSE,FALSE,
84,Country Strong,10,Nolan Jones,nolanjones,20529,contract,1,4.5,,FALSE,FALSE,
85,Country Strong,10,Jackson Holliday,jacksonholliday,31781,contract,8,1.15,,FALSE,FALSE,
86,Country Strong,10,Kevin McGonigle,kevinmcgonigle,sa3022895,contract,9,1,,FALSE,FALSE,
87,Country Strong,10,Munetaka Murakami,munetakamurakami,sa3063258,contract,5,1,,FALSE,FALSE,
88,Country Strong,10,Zebby Matthews,zebbymatthews,31827,contract,4,1,,FALSE,FALSE,
89,Country Strong,10,Christian Encarnacion-Strand,christianencarnacionstrand,30011,pre_arb,1,1,,FALSE,FALSE,
90,Country Strong,10,Kyle Harrison,kyleharrison,27758,pre_arb,1,1,,FALSE,FALSE,
91,Country Strong,10,Cristian Javier,cristianjavier,17606,aa,,0,3,FALSE,FALSE,
92,Country Strong,10,Grant Taylor,granttaylor,33927,aa,,0,3,FALSE,FALSE,
93,Country Strong,10,Justin Lebron,justinlebron,sa3036129,aa,,0,3,FALSE,FALSE,
94,Country Strong,10,Kyle Manzardo,kylemanzardo,29794,aa,,0,2,FALSE,FALSE,
95,Country Strong,10,Richard Fitts,richardfitts,30160,aa,,0,2,FALSE,FALSE,
96,Country Strong,10,Sebastian Walcott,sebastianwalcott,sa3021069,aa,,0,3,FALSE,FALSE,
97,Country Strong,10,Shane Baz,shanebaz,22264,aa,,0,1,FALSE,FALSE,
98,Detroit Nittany Tide,5,Hunter Greene,huntergreene,22182,arb1,,0,,FALSE,FALSE,0.4
99,Detroit Nittany Tide,5,MacKenzie Gore,mackenziegore,22201,arb1,,0,,FALSE,FALSE,0.4
100,Detroit Nittany Tide,5,Nick Lodolo,nicklodolo,26378,arb1,,0,,FALSE,FALSE,0.4
101,Detroit Nittany Tide,5,Andrew Vaughn,andrewvaughn,26197,aaa_opt,1,0,,FALSE,TRUE,
102,Detroit Nittany Tide,5,Jake Irvin,jakeirvin,21504,aaa_opt,1,0,,FALSE,TRUE,
103,Detroit Nittany Tide,5,Jake Rogers,jakerogers,19452,aaa_opt,1,0,,FALSE,TRUE,
104,Detroit Nittany Tide,5,Luke Weaver,lukeweaver,16918,aaa_opt,1,0,,FALSE,TRUE,
105,Detroit Nittany Tide,5,Seiya Suzuki,seiyasuzuki,30116,contract,2,6,,FALSE,FALSE,
106,Detroit Nittany Tide,5,Jonathan India,jonathanindia,21523,contract,1,4,,FALSE,FALSE,
107,Detroit Nittany Tide,5,Zack Gelof,zackgelof,29766,contract,1,3.25,,FALSE,FALSE,
108,Detroit Nittany Tide,5,Daulton Varsho,daultonvarsho,19918,contract,1,2,,FALSE,FALSE,
109,Detroit Nittany Tide,5,Yainer Diaz,yainerdiaz,23003,contract,1,2,,FALSE,FALSE,
110,Detroit Nittany Tide,5,Spencer Torkelson,spencertorkelson,27465,contract,6,1.5,,FALSE,FALSE,
111,Detroit Nittany Tide,5,Jackson Jobe,jacksonjobe,30203,pre_arb,2,1,,FALSE,FALSE,
112,Detroit Nittany Tide,5,Chase Silseth,chasesilseth,30074,pre_arb,1,1,,FALSE,FALSE,
113,Detroit Nittany Tide,5,Josh Lowe,joshlowe,19953,pre_arb,1,1,,FALSE,FALSE,
114,Detroit Nittany Tide,5,Mickey Moniak,mickeymoniak,19956,pre_arb,1,1,,FALSE,FALSE,
115,Detroit Nittany Tide,5,Paul Skenes,paulskenes,33677,pre_arb,1,1,,FALSE,FALSE,
116,Detroit Nittany Tide,5,Andre Pallante,andrepallante,26108,aaa_opt,1,0,,FALSE,TRUE,
117,Detroit Nittany Tide,5,Austin Gomber,austingomber,16561,aaa_opt,1,0,,FALSE,TRUE,
118,Detroit Nittany Tide,5,Chad Green,chadgreen,15552,aaa_opt,1,0,,FALSE,TRUE,
119,Detroit Nittany Tide,5,Jose Caballero,josecaballero,23401,aaa_opt,1,0,,FALSE,TRUE,
120,Detroit Nittany Tide,5,Trey Sweeney,treysweeney,29575,aaa_opt,1,0,,FALSE,TRUE,
121,Detroit Nittany Tide,5,Austin Martin,austinmartin,27462,pre_arb,1,1,,FALSE,FALSE,
122,Detroit Nittany Tide,5,Ian Anderson,iananderson,19951,contract,1,1,,FALSE,FALSE,
124,Detroit Nittany Tide,5,Addison Barger,addisonbarger,24598,aa,,0,2,FALSE,FALSE,
125,Detroit Nittany Tide,5,Brody Brecht,brodybrecht,sa3027632,aa,,0,3,FALSE,FALSE,
126,Detroit Nittany Tide,5,Cris Rodriguez,crisrodriguez,sa3066593,aa,,0,3,FALSE,FALSE,
127,Detroit Nittany Tide,5,Cristhian Vaquero,cristhianvaquero,sa3018403,aa,,0,3,FALSE,FALSE,
128,Detroit Nittany Tide,5,Eli Willits,eliwillits,sa3069164,aa,,0,3,FALSE,FALSE,
129,Detroit Nittany Tide,5,Enrique Bradfield Jr.,enriquebradfieldjr,sa3022917,aa,,0,3,FALSE,FALSE,
130,Detroit Nittany Tide,5,Heston Kjerstad,hestonkjerstad,31166,aa,,0,3,FALSE,FALSE,
131,Detroit Nittany Tide,5,Jordyn Adams,jordynadams,23788,aa,,0,3,FALSE,FALSE,
132,Detroit Nittany Tide,5,Kevin Alcantara,kevinalcantara,25971,aa,,0,3,FALSE,FALSE,
133,Detroit Nittany Tide,5,Max Clark,maxclark,sa3022683,aa,,0,3,FALSE,FALSE,
134,Detroit Nittany Tide,5,Travis Honeyman,travishoneyman,sa3023679,aa,,0,3,FALSE,FALSE,
135,Detroit Nittany Tide,5,Yohandy Morales,yohandymorales,sa3022672,aa,,0,3,FALSE,FALSE,
136,Dip City Thunder,8,Alec Bohm,alecbohm,21618,arb3,,0,,FALSE,FALSE,0.8
137,Dip City Thunder,8,Jeremy Pena,jeremypena,21636,arb2,,0,,FALSE,FALSE,0.6
138,Dip City Thunder,8,Julio Rodriguez,juliorodriguez,23697,arb2,,0,,FALSE,FALSE,0.6
139,Dip City Thunder,8,Jarren Duran,jarrenduran,24617,arb1,,0,,FALSE,FALSE,0.4
140,Dip City Thunder,8,Spencer Steer,spencersteer,26323,arb1,,0,,FALSE,FALSE,0.4
141,Dip City Thunder,8,Heliot Ramos,heliotramos,22515,aaa_opt,1,0,,FALSE,TRUE,
142,Dip City Thunder,8,Otto Lopez,ottolopez,19608,aaa_opt,1,0,,FALSE,TRUE,
143,Dip City Thunder,8,Ryan Jeffers,ryanjeffers,24618,aaa_opt,1,0,,FALSE,TRUE,
144,Dip City Thunder,8,Bryan Woo,bryanwoo,30279,contract,1,4.5,,FALSE,FALSE,
145,Dip City Thunder,8,Grant Holmes,grantholmes,16944,contract,1,1,,FALSE,FALSE,
146,Dip City Thunder,8,Jose Soriano,josesoriano,22100,contract,1,1,,FALSE,FALSE,
147,Dip City Thunder,8,Mason Miller,masonmiller,31757,contract,1,1,,FALSE,FALSE,
148,Dip City Thunder,8,Michael Busch,michaelbusch,26319,pre_arb,1,1,,FALSE,FALSE,
149,Dip City Thunder,8,Royce Lewis,roycelewis,20437,pre_arb,1,1,,FALSE,FALSE,
150,Dip City Thunder,8,Davis Martin,davismartin,21448,aaa_opt,1,0,,FALSE,TRUE,
151,Dip City Thunder,8,Hayden Wesneski,haydenwesneski,27581,aaa_opt,1,0,,FALSE,TRUE,
152,Dip City Thunder,8,Michael McGreevy,michaelmcgreevy,29869,aaa_opt,1,0,,FALSE,TRUE,
153,Dip City Thunder,8,Tyler Anderson,tyleranderson,12880,aaa_opt,1,0,,FALSE,TRUE,
154,Dip City Thunder,8,Tyler Kinley,tylerkinley,18297,aaa_opt,1,0,,FALSE,TRUE,
155,Dip City Thunder,8,Triston Casas,tristoncasas,22514,pre_arb,1,1,,FALSE,FALSE,
156,Dip City Thunder,8,Ben Brown,benbrown,23590,aa,,0,2,FALSE,FALSE,
157,Dip City Thunder,8,Braylon Payne,braylonpayne,sa3025647,aa,,0,3,FALSE,FALSE,
158,Dip City Thunder,8,Cam Smith,camsmith,35108,aa,,0,2,FALSE,FALSE,
159,Dip City Thunder,8,Emil Morales,emilmorales,sa3023887,aa,,0,3,FALSE,FALSE,
160,Dip City Thunder,8,Emmanuel Rodriguez,emmanuelrodriguez,sa3014693,aa,,0,3,FALSE,FALSE,
161,Dip City Thunder,8,Ethan Holliday,ethanholliday,sa3069100,aa,,0,3,FALSE,FALSE,
162,Dip City Thunder,8,Hayden Birdsong,haydenbirdsong,31635,aa,,0,3,FALSE,FALSE,
163,Dip City Thunder,8,Jaison Chourio,jaisonchourio,sa3018399,aa,,0,3,FALSE,FALSE,
164,Dip City Thunder,8,Lazaro Montes,lazaromontes,sa3018409,aa,,0,3,FALSE,FALSE,
165,Dip City Thunder,8,Orelvis Martinez,orelvismartinez,25967,aa,,0,3,FALSE,FALSE,
166,Dip City Thunder,8,Parker Meadows,parkermeadows,23800,aa,,0,1,FALSE,FALSE,
167,Dip City Thunder,8,Thomas White,thomaswhite,sa3023268,aa,,0,3,FALSE,FALSE,
168,Midtown Jaguars,19,Kyle Tucker,kyletucker,18345,arb3,,0,,FALSE,FALSE,0.8
169,Midtown Jaguars,19,Jazz Chisholm Jr.,jazzchisholmjr,20454,arb2,,0,,FALSE,FALSE,0.6
170,Midtown Jaguars,19,Keibert Ruiz,keibertruiz,19610,arb2,,0,,FALSE,FALSE,0.6
171,Midtown Jaguars,19,Bryce Miller,brycemiller,29837,arb1,,0,,FALSE,FALSE,0.4
172,Midtown Jaguars,19,Carlos Santana,carlossantana,2396,aaa_opt,1,0,,FALSE,TRUE,
173,Midtown Jaguars,19,Chris Martin,chrismartin,11847,aaa_opt,1,0,,FALSE,TRUE,
175,Midtown Jaguars,19,Luis Ortiz,luisortiz1,27646,aaa_opt,1,0,,FALSE,TRUE,
176,Midtown Jaguars,19,Matt Wallner,mattwallner,26466,aaa_opt,1,0,,FALSE,TRUE,
177,Midtown Jaguars,19,Max Kepler,maxkepler,12144,aaa_opt,1,0,,FALSE,TRUE,
178,Midtown Jaguars,19,Sean Murphy,seanmurphy,19352,aaa_opt,1,0,,FALSE,TRUE,
179,Midtown Jaguars,19,Bo Bichette,bobichette,19612,contract,1,4,,FALSE,FALSE,
180,Midtown Jaguars,19,Randy Arozarena,randyarozarena,19290,contract,1,2.8,,FALSE,FALSE,
181,Midtown Jaguars,19,Reynaldo Lopez,reynaldolopez,16400,contract,1,2.01,,FALSE,FALSE,
182,Midtown Jaguars,19,Bowden Francis,bowdenfrancis,20548,contract,2,1.1,,FALSE,FALSE,
183,Midtown Jaguars,19,Luis Robert Jr.,luisrobertjr,20043,contract,1,1,,FALSE,FALSE,
184,Midtown Jaguars,19,Grayson Rodriguez,graysonrodriguez,24492,arb1,,0,,FALSE,FALSE,0.4
185,Midtown Jaguars,19,Hunter Brown,hunterbrown,25880,arb1,,0,,FALSE,FALSE,0.4
186,Midtown Jaguars,19,Vinnie Pasquantino,vinniepasquantino,27676,arb1,,0,,FALSE,FALSE,0.4
187,Midtown Jaguars,19,Ha-Seong Kim,haseongkim,27506,aaa_opt,1,0,,FALSE,TRUE,
188,Midtown Jaguars,19,Yoan Moncada,yoanmoncada,17232,aaa_opt,1,0,,FALSE,TRUE,
189,Midtown Jaguars,19,Bo Naylor,bonaylor,21865,pre_arb,1,1,,FALSE,FALSE,
190,Midtown Jaguars,19,Agustin Ramirez,agustinramirez,26546,aa,,0,3,FALSE,FALSE,
191,Midtown Jaguars,19,Aidan Smith,aidansmith,sa3022611,aa,,0,3,FALSE,FALSE,
193,Midtown Jaguars,19,Angel Genao,angelgenao,sa3015706,aa,,0,3,FALSE,FALSE,
194,Midtown Jaguars,19,Carson Whisenhunt,carsonwhisenhunt,31676,aa,,0,3,FALSE,FALSE,
195,Midtown Jaguars,19,Carson Williams,carsonwilliams,30038,aa,,0,3,FALSE,FALSE,
196,Midtown Jaguars,19,Christian Moore,christianmoore,34979,aa,,0,3,FALSE,FALSE,
197,Midtown Jaguars,19,Cooper Pratt,cooperpratt,sa3022867,aa,,0,3,FALSE,FALSE,
198,Midtown Jaguars,19,Gary Gill Hill,garygillhill,sa3020972,aa,,0,3,FALSE,FALSE,
199,Midtown Jaguars,19,Jonah Tong,jonahtong,32157,aa,,0,3,FALSE,FALSE,
200,Midtown Jaguars,19,Justin Crawford,justincrawford,sa3020240,aa,,0,3,FALSE,FALSE,
201,Midtown Jaguars,19,Noah Schultz,noahschultz,sa3020949,aa,,0,3,FALSE,FALSE,
202,Midtown Jaguars,19,Oswald Peraza,oswaldperaza,22823,aa,,0,3,FALSE,FALSE,
203,Midtown Jaguars,19,Owen Caissie,owencaissie,27496,aa,,0,3,FALSE,FALSE,
204,Midtown Jaguars,19,Ryan Clifford,ryanclifford,sa3020126,aa,,0,3,FALSE,FALSE,
205,Midtown Jaguars,19,Spencer Jones,spencerjones,sa3019969,aa,,0,3,FALSE,FALSE,
206,Midtown Jaguars,19,Tyler Soderstrom,tylersoderstrom,27467,aa,,0,3,FALSE,FALSE,
207,Orlando Renegades,6,Connor Wong,connorwong,19896,aaa_opt,1,0,,FALSE,TRUE,
208,Orlando Renegades,6,Eduardo Rodriguez,eduardorodriguez,13164,aaa_opt,1,0,,FALSE,TRUE,
209,Orlando Renegades,6,Griffin Jax,griffinjax,20253,aaa_opt,1,0,,FALSE,TRUE,
210,Orlando Renegades,6,Jonathan Aranda,jonathanaranda,21837,aaa_opt,1,0,,FALSE,TRUE,
211,Orlando Renegades,6,Jorge Soler,jorgesoler,14221,aaa_opt,1,0,,FALSE,TRUE,
212,Orlando Renegades,6,JP Sears,jpsears,23429,aaa_opt,1,0,,FALSE,TRUE,
213,Orlando Renegades,6,Lane Thomas,lanethomas,16939,aaa_opt,1,0,,FALSE,TRUE,
214,Orlando Renegades,6,Luis Rengifo,luisrengifo,19858,aaa_opt,1,0,,FALSE,TRUE,
215,Orlando Renegades,6,Tyler O'Neill,tyleroneill,15711,aaa_opt,1,0,,FALSE,TRUE,
217,Orlando Renegades,6,Freddie Freeman,freddiefreeman,5361,contract,1,12.1,,FALSE,FALSE,
218,Orlando Renegades,6,Joe Ryan,joeryan,21390,contract,1,5.5,,FALSE,FALSE,
219,Orlando Renegades,6,Spencer Arrighetti,spencerarrighetti,29921,contract,2,3.4,,FALSE,FALSE,
220,Orlando Renegades,6,Gerrit Cole,gerritcole,13125,contract,1,2.2,,FALSE,FALSE,
221,Orlando Renegades,6,Robbie Ray,robbieray,11486,contract,1,2,,FALSE,FALSE,
222,Orlando Renegades,6,Ezequiel Tovar,ezequieltovar,24064,contract,3,1.05,,FALSE,FALSE,
223,Orlando Renegades,6,Dylan Crews,dylancrews,33541,pre_arb,2,1,,FALSE,FALSE,
224,Orlando Renegades,6,Junior Caminero,juniorcaminero,28163,pre_arb,2,1,,FALSE,FALSE,
225,Orlando Renegades,6,Wyatt Langford,wyattlangford,33333,pre_arb,2,1,,FALSE,FALSE,
226,Orlando Renegades,6,Ryan Pepiot,ryanpepiot,26221,pre_arb,1,1,,FALSE,FALSE,
227,Orlando Renegades,6,Trevor Bauer,trevorbauer,12703,cut,1,3.31,,FALSE,FALSE,
228,Orlando Renegades,6,Andrew Heaney,andrewheaney,15423,aaa_opt,1,0,,FALSE,TRUE,
229,Orlando Renegades,6,Isiah Kiner-Falefa,isiahkinerfalefa,16512,aaa_opt,1,0,,FALSE,TRUE,
230,Orlando Renegades,6,Jose Quintana,josequintana,11423,aaa_opt,1,0,,FALSE,TRUE,
231,Orlando Renegades,6,Matt Vierling,mattvierling,21558,aaa_opt,1,0,,FALSE,TRUE,
232,Orlando Renegades,6,Miles Mikolas,milesmikolas,9803,aaa_opt,1,0,,FALSE,TRUE,
233,Orlando Renegades,6,Seth Halvorsen,sethhalvorsen,33294,aaa_opt,1,0,,FALSE,TRUE,
234,Orlando Renegades,6,Bobby Miller,bobbymiller,27483,pre_arb,1,1,,FALSE,FALSE,
235,Orlando Renegades,6,Colt Emerson,coltemerson,sa3022923,contract,10,1,,FALSE,FALSE,
236,Orlando Renegades,6,Brandon Sproat,brandonsproat,33850,contract,5,1,,FALSE,FALSE,
237,Orlando Renegades,6,Andy Pages,andypages,24816,aa,,0,1,FALSE,FALSE,
238,Orlando Renegades,6,Brayden Taylor,braydentaylor,sa3022921,aa,,0,3,FALSE,FALSE,
239,Orlando Renegades,6,Bubba Chandler,bubbachandler,29868,aa,,0,3,FALSE,FALSE,
240,Orlando Renegades,6,Cade Horton,cadehorton,31872,aa,,0,3,FALSE,FALSE,
241,Orlando Renegades,6,Cam Collier,camcollier,sa3020131,aa,,0,3,FALSE,FALSE,
242,Orlando Renegades,6,David Festa,davidfesta,30056,aa,,0,3,FALSE,FALSE,
243,Orlando Renegades,6,Drake Baldwin,drakebaldwin,31539,aa,,0,3,FALSE,FALSE,
244,Orlando Renegades,6,Drew Burress,drewburress,sa3028100,aa,,0,3,FALSE,FALSE,
245,Orlando Renegades,6,Jac Caglianone,jaccaglianone,35041,aa,,0,3,FALSE,FALSE,
246,Orlando Renegades,6,Jace LaViolette,jacelaviolette,sa3036058,aa,,0,3,FALSE,FALSE,
247,Orlando Renegades,6,Joendry Vargas,joendryvargas,sa3021067,aa,,0,3,FALSE,FALSE,
248,Orlando Renegades,6,Kyle Teel,kyleteel,33549,aa,,0,3,FALSE,FALSE,
249,Orlando Renegades,6,Robert Calaz,robertcalaz,sa3021078,aa,,0,3,FALSE,FALSE,
250,Orlando Renegades,6,Sal Stewart,salstewart,31505,aa,,0,3,FALSE,FALSE,
251,Orlando Renegades,6,Travis Bazzana,travisbazzana,sa3025129,aa,,0,3,FALSE,FALSE,
252,Orlando Renegades,6,Travis Sykora,travissykora,sa3023557,aa,,0,3,FALSE,FALSE,
253,Orlando Renegades,6,Tyler Fitzgerald,tylerfitzgerald,26208,aa,,0,2,FALSE,FALSE,
254,Orlando Renegades,6,Walker Jenkins,walkerjenkins,sa3022894,aa,,0,3,FALSE,FALSE,
255,Orlando Renegades,6,Yoeilin Cespedes,yoeilincespedes,sa3021085,aa,,0,3,FALSE,FALSE,
256,Ryno World,4,George Kirby,georgekirby,25436,arb1,,0,,FALSE,FALSE,0.4
257,Ryno World,4,Josh Jung,joshjung,26299,arb1,,0,,FALSE,FALSE,0.4
258,Ryno World,4,Michael Harris II,michaelharrisii,25931,arb1,,0,,FALSE,FALSE,0.4
259,Ryno World,4,Michael Kopech,michaelkopech,17282,arb1,,0,,FALSE,FALSE,0.4
260,Ryno World,4,Alec Burleson,alecburleson,27615,aaa_opt,1,0,,FALSE,TRUE,
261,Ryno World,4,Bailey Falter,baileyfalter,20070,aaa_opt,1,0,,FALSE,TRUE,
262,Ryno World,4,Justin Verlander,justinverlander,8700,aaa_opt,1,0,,FALSE,TRUE,
263,Ryno World,4,Lourdes Gurriel Jr.,lourdesgurrieljr,19238,aaa_opt,1,0,,FALSE,TRUE,
264,Ryno World,4,Shohei Ohtani,shoheiohtani,19755,contract,1,30.5,,FALSE,FALSE,
265,Ryno World,4,Ronald Acuna Jr.,ronaldacunajr,18401,contract,3,11.75,,FALSE,FALSE,
266,Ryno World,4,Zac Gallen,zacgallen,19291,contract,1,7,,FALSE,FALSE,
