,Original Team,NameASCII,fgId,tjid,type,Years,Dollars,Symbol,Options,dup
102,Detroit Nittany Tide,Jake Irvin,21504,jakeirvin,aaa option,1,$3 opt,†,,False
103,Detroit Nittany Tide,Jake Rogers,19452,jakerogers,aaa option,1,$3 opt,†,,False
104,Detroit Nittany Tide,Luke Weaver,16918,lukeweaver,aaa option,1,$3 opt,†,,False
105,Detroit Nittany Tide,Seiya Suzuki,30116,seiyasuzuki,contract,2,$6.00,,,False
106,Detroit Nittany Tide,Jonathan India,21523,jonathanindia,contract,1,$4.00,,,False
107,Detroit Nittany Tide,Zack Gelof,29766,zackgelof,contract,1,$3.25,,,False
108,Detroit Nittany Tide,Daulton Varsho,19918,daultonvarsho,contract,1,$2.00,,,False
109,Detroit Nittany Tide,Yainer Diaz,23003,yainerdiaz,contract,1,$2.00,,,False
110,Detroit Nittany Tide,Spencer Torkelson,27465,spencertorkelson,contract,6,$1.50,,,False
111,Detroit Nittany Tide,Jackson Jobe,30203,jacksonjobe,pre-arb,2,$1.00,@,,False
112,Detroit Nittany Tide,Chase Silseth,30074,chasesilseth,pre-arb,1,$1.00,@,,False
113,Detroit Nittany Tide,Josh Lowe,19953,joshlowe,pre-arb,1,$1.00,@,,False
114,Detroit Nittany Tide,Mickey Moniak,19956,mickeymoniak,pre-arb,1,$1.00,@,,False
115,Detroit Nittany Tide,Paul Skenes,33677,paulskenes,pre-arb,1,$1.00,@,,False
116,Detroit Nittany Tide,Andre Pallante,26108,andrepallante,aaa option,1,$3 opt,†,,False
117,Detroit Nittany Tide,Austin Gomber,16561,austingomber,aaa option,1,$3 opt,†,,False
118,Detroit Nittany Tide,Chad Green,15552,chadgreen,aaa option,1,$3 opt,†,,False
119,Detroit Nittany Tide,Jose Caballero,23401,josecaballero,aaa option,1,$3 opt,†,,False
120,Detroit Nittany Tide,Trey Sweeney,29575,treysweeney,aaa option,1,$3 opt,†,,False
121,Detroit Nittany Tide,Austin Martin,27462,austinmartin,pre-arb,1,$1.00,@,,False
122,Detroit Nittany Tide,Ian Anderson,19951,iananderson,contract,1,$1.00,,,False
123,Detroit Nittany Tide,Ian Anderson,sa3026044,iananderson1,contract,1,$1.00,,,True
124,Detroit Nittany Tide,Addison Barger,24598,addisonbarger,aa,U,$-,,2.0,False
125,Detroit Nittany Tide,Brody Brecht,sa3027632,brodybrecht,aa,U,$-,,3.0,False
126,Detroit Nittany Tide,Cris Rodriguez,sa3066593,crisrodriguez,aa,U,$-,,3.0,False
127,Detroit Nittany Tide,Cristhian Vaquero,sa3018403,cristhianvaquero,aa,U,$-,,3.0,False
128,Detroit Nittany Tide,Eli Willits,sa3069164,eliwillits,aa,U,$-,,3.0,False
129,Detroit Nittany Tide,Enrique Bradfield Jr.,sa3022917,enriquebradfieldjr,aa,U,$-,,3.0,False
130,Detroit Nittany Tide,Heston Kjerstad,31166,hestonkjerstad,aa,U,$-,,3.0,False
131,Detroit Nittany Tide,Jordyn Adams,23788,jordynadams,aa,U,$-,,3.0,False
132,Detroit Nittany Tide,Kevin Alcantara,25971,kevinalcantara,aa,U,$-,,3.0,False
133,Detroit Nittany Tide,Max Clark,sa3022683,maxclark,aa,U,$-,,3.0,False
134,Detroit Nittany Tide,Travis Honeyman,sa3023679,travishoneyman,aa,U,$-,,3.0,False
135,Detroit Nittany Tide,Yohandy Morales,sa3022672,yohandymorales,aa,U,$-,,3.0,False
136,Dip City Thunder,Alec Bohm,21618,alecbohm,Arb 3,Arb 3,80%,³,,False
137,Dip City Thunder,Jeremy Pena,21636,jeremypena,Arb 2,Arb 2,60%,²,,False
138,Dip City Thunder,Julio Rodriguez,23697,juliorodriguez,Arb 2,Arb 2,60%,²,,False
139,Dip City Thunder,Jarren Duran,24617,jarrenduran,Arb 1,Arb 1,40%,¹,,False
140,Dip City Thunder,Spencer Steer,26323,spencersteer,Arb 1,Arb 1,40%,¹,,False
141,Dip City Thunder,Heliot Ramos,22515,heliotramos,aaa option,1,$3 opt,†,,False
142,Dip City Thunder,Otto Lopez,19608,ottolopez,aaa option,1,$3 opt,†,,False
143,Dip City Thunder,Ryan Jeffers,24618,ryanjeffers,aaa option,1,$3 opt,†,,False
144,Dip City Thunder,Bryan Woo,30279,bryanwoo,contract,1,$4.50,,,False
145,Dip City Thunder,Grant Holmes,16944,grantholmes,contract,1,$1.00,,,False
146,Dip City Thunder,Jose Soriano,22100,josesoriano,contract,1,$1.00,,,False
147,Dip City Thunder,Mason Miller,31757,masonmiller,contract,1,$1.00,,,False
148,Dip City Thunder,Michael Busch,26319,michaelbusch,pre-arb,1,$1.00,@,,False
149,Dip City Thunder,Royce Lewis,20437,roycelewis,pre-arb,1,$1.00,@,,False
150,Dip City Thunder,Davis Martin,21448,davismartin,aaa option,1,$3 opt,†,,False
151,Dip City Thunder,Hayden Wesneski,27581,haydenwesneski,aaa option,1,$3 opt,†,,False
152,Dip City Thunder,Michael McGreevy,29869,michaelmcgreevy,aaa option,1,$3 opt,†,,False
153,Dip City Thunder,Tyler Anderson,12880,tyleranderson,aaa option,1,$3 opt,†,,False
154,Dip City Thunder,Tyler Kinley,18297,tylerkinley,aaa option,1,$3 opt,†,,False
155,Dip City Thunder,Triston Casas,22514,tristoncasas,pre-arb,1,$1.00,@,,False
156,Dip City Thunder,Ben Brown,23590,benbrown,aa,U,$-,,2.0,False
157,Dip City Thunder,Braylon Payne,sa3025647,braylonpayne,aa,U,$-,,3.0,False
158,Dip City Thunder,Cam Smith,35108,camsmith,aa,U,$-,,2.0,False
159,Dip City Thunder,Emil Morales,sa3023887,emilmorales,aa,U,$-,,3.0,False
160,Dip City Thunder,Emmanuel Rodriguez,sa3014693,emmanuelrodriguez,aa,U,$-,,3.0,False
161,Dip City Thunder,Ethan Holliday,sa3069100,ethanholliday,aa,U,$-,,3.0,False
162,Dip City Thunder,Hayden Birdsong,31635,haydenbirdsong,aa,U,$-,,3.0,False
163,Dip City Thunder,Jaison Chourio,sa3018399,jaisonchourio,aa,U,$-,,3.0,False
164,Dip City Thunder,Lazaro Montes,sa3018409,lazaromontes,aa,U,$-,,3.0,False
165,Dip City Thunder,Orelvis Martinez,25967,orelvismartinez,aa,U,$-,,3.0,False
166,Dip City Thunder,Parker Meadows,23800,parkermeadows,aa,U,$-,,1.0,False
167,Dip City Thunder,Thomas White,sa3023268,thomaswhite,aa,U,$-,,3.0,False
168,Midtown Jaguars,Kyle Tucker,18345,kyletucker,Arb 3,Arb 3,80%,³,,False
169,Midtown Jaguars,Jazz Chisholm Jr.,20454,jazzchisholmjr,Arb 2,Arb 2,60%,²,,False
170,Midtown Jaguars,Keibert Ruiz,19610,keibertruiz,Arb 2,Arb 2,60%,²,,False
171,Midtown Jaguars,Bryce Miller,29837,brycemiller,Arb 1,Arb 1,40%,¹,,False
172,Midtown Jaguars,Carlos Santana,2396,carlossantana,aaa option,1,$3 opt,†,,False
173,Midtown Jaguars,Chris Martin,11847,chrismartin,aaa option,1,$3 opt,†,,False
174,Midtown Jaguars,Luis Ortiz,16942,luisortiz,aaa option,1,$3 opt,†,,False
175,Midtown Jaguars,Luis Ortiz,27646,luisortiz1,aaa option,1,$3 opt,†,,True
176,Midtown Jaguars,Matt Wallner,26466,mattwallner,aaa option,1,$3 opt,†,,False
177,Midtown Jaguars,Max Kepler,12144,maxkepler,aaa option,1,$3 opt,†,,False
178,Midtown Jaguars,Sean Murphy,19352,seanmurphy,aaa option,1,$3 opt,†,,False
179,Midtown Jaguars,Bo Bichette,19612,bobichette,contract,1,$4.00,,,False
180,Midtown Jaguars,Randy Arozarena,19290,randyarozarena,contract,1,$2.80,,,False
181,Midtown Jaguars,Reynaldo Lopez,16400,reynaldolopez,contract,1,$2.01,,,False
182,Midtown Jaguars,Bowden Francis,20548,bowdenfrancis,contract,2,$1.10,,,False
183,Midtown Jaguars,Luis Robert Jr.,20043,luisrobertjr,contract,1,$1.00,,,False
184,Midtown Jaguars,Grayson Rodriguez,24492,graysonrodriguez,Arb 1,Arb 1,40%,¹,,False
185,Midtown Jaguars,Hunter Brown,25880,hunterbrown,Arb 1,Arb 1,40%,¹,,False
186,Midtown Jaguars,Vinnie Pasquantino,27676,vinniepasquantino,Arb 1,Arb 1,40%,¹,,False
187,Midtown Jaguars,Ha-Seong Kim,27506,haseongkim,aaa option,1,$3 opt,†,,False
188,Midtown Jaguars,Yoan Moncada,17232,yoanmoncada,aaa option,1,$3 opt,†,,False
189,Midtown Jaguars,Bo Naylor,21865,bonaylor,pre-arb,1,$1.00,@,,False
190,Midtown Jaguars,Agustin Ramirez,26546,agustinramirez,aa,U,$-,,3.0,False
191,Midtown Jaguars,Aidan Smith,sa3022611,aidansmith,aa,U,$-,,3.0,False
192,Midtown Jaguars,Aidan Smith,sa3042471,aidansmith1,aa,U,$-,,3.0,True
193,Midtown Jaguars,Angel Genao,sa3015706,angelgenao,aa,U,$-,,3.0,False
194,Midtown Jaguars,Carson Whisenhunt,31676,carsonwhisenhunt,aa,U,$-,,3.0,False
195,Midtown Jaguars,Carson Williams,30038,carsonwilliams,aa,U,$-,,3.0,False
196,Midtown Jaguars,Christian Moore,34979,christianmoore,aa,U,$-,,3.0,False
197,Midtown Jaguars,Cooper Pratt,sa3022867,cooperpratt,aa,U,$-,,3.0,False
198,Midtown Jaguars,Gary Gill Hill,sa3020972,garygillhill,aa,U,$-,,3.0,False
199,Midtown Jaguars,Jonah Tong,32157,jonahtong,aa,U,$-,,3.0,False
200,Midtown Jaguars,Justin Crawford,sa3020240,justincrawford,aa,U,$-,,3.0,False
201,Midtown Jaguars,Noah Schultz,sa3020949,noahschultz,aa,U,$-,,3.0,False
202,Midtown Jaguars,Oswald Peraza,22823,oswaldperaza,aa,U,$-,,3.0,False
203,Midtown Jaguars,Owen Caissie,27496,owencaissie,aa,U,$-,,3.0,False
204,Midtown Jaguars,Ryan Clifford,sa3020126,ryanclifford,aa,U,$-,,3.0,False
205,Midtown Jaguars,Spencer Jones,sa3019969,spencerjones,aa,U,$-,,3.0,False
206,Midtown Jaguars,Tyler Soderstrom,27467,tylersoderstrom,aa,U,$-,,3.0,False
207,Orlando Renegades,Connor Wong,19896,connorwong,aaa option,1,$3 opt,†,,False
208,Orlando Renegades,Eduardo Rodriguez,13164,eduardorodriguez,aaa option,1,$3 opt,†,,False
209,Orlando Renegades,Griffin Jax,20253,griffinjax,aaa option,1,$3 opt,†,,False
210,Orlando Renegades,Jonathan Aranda,21837,jonathanaranda,aaa option,1,$3 opt,†,,False
211,Orlando Renegades,Jorge Soler,14221,jorgesoler,aaa option,1,$3 opt,†,,False
212,Orlando Renegades,JP Sears,23429,jpsears,aaa option,1,$3 opt,†,,False
213,Orlando Renegades,Lane Thomas,16939,lanethomas,aaa option,1,$3 opt,†,,False
214,Orlando Renegades,Luis Rengifo,19858,luisrengifo,aaa option,1,$3 opt,†,,False
215,Orlando Renegades,Tyler O'Neill,15711,tyleroneill,aaa option,1,$3 opt,†,,False
216,Orlando Renegades,Tyler O'Neill,sa3039169,tyleroneill1,aaa option,1,$3 opt,†,,True
217,Orlando Renegades,Freddie Freeman,5361,freddiefreeman,contract,1,$12.10,,,False
218,Orlando Renegades,Joe Ryan,21390,joeryan,contract,1,$5.50,,,False
219,Orlando Renegades,Spencer Arrighetti,29921,spencerarrighetti,contract,2,$3.40,,,False
220,Orlando Renegades,Gerrit Cole,13125,gerritcole,contract,1,$2.20,,,False
221,Orlando Renegades,Robbie Ray,11486,robbieray,contract,1,$2.00,,,False
222,Orlando Renegades,Ezequiel Tovar,24064,ezequieltovar,contract,3,$1.05,,,False
223,Orlando Renegades,Dylan Crews,33541,dylancrews,pre-arb,2,$1.00,@,,False
224,Orlando Renegades,Junior Caminero,28163,juniorcaminero,pre-arb,2,$1.00,@,,False
225,Orlando Renegades,Wyatt Langford,33333,wyattlangford,pre-arb,2,$1.00,@,,False
226,Orlando Renegades,Ryan Pepiot,26221,ryanpepiot,pre-arb,1,$1.00,@,,False
227,Orlando Renegades,Trevor Bauer,12703,trevorbauer,cut,1,$3.31,,,False
228,Orlando Renegades,Andrew Heaney,15423,andrewheaney,aaa option,1,$3 opt,†,,False
229,Orlando Renegades,Isiah Kiner-Falefa,16512,isiahkinerfalefa,aaa option,1,$3 opt,†,,False
230,Orlando Renegades,Jose Quintana,11423,josequintana,aaa option,1,$3 opt,†,,False
231,Orlando Renegades,Matt Vierling,21558,mattvierling,aaa option,1,$3 opt,†,,False
232,Orlando Renegades,Miles Mikolas,9803,milesmikolas,aaa option,1,$3 opt,†,,False
233,Orlando Renegades,Seth Halvorsen,33294,sethhalvorsen,aaa option,1,$3 opt,†,,False
234,Orlando Renegades,Bobby Miller,27483,bobbymiller,pre-arb,1,$1.00,@,,False
235,Orlando Renegades,Colt Emerson,sa3022923,coltemerson,contract,10,$1.00,,,False
236,Orlando Renegades,Brandon Sproat,33850,brandonsproat,contract,5,$1.00,,,False
237,Orlando Renegades,Andy Pages,24816,andypages,aa,U,$-,,1.0,False
238,Orlando Renegades,Brayden Taylor,sa3022921,braydentaylor,aa,U,$-,,3.0,False
239,Orlando Renegades,Bubba Chandler,29868,bubbachandler,aa,U,$-,,3.0,False
240,Orlando Renegades,Cade Horton,31872,cadehorton,aa,U,$-,,3.0,False
241,Orlando Renegades,Cam Collier,sa3020131,camcollier,aa,U,$-,,3.0,False
242,Orlando Renegades,David Festa,30056,davidfesta,aa,U,$-,,3.0,False
243,Orlando Renegades,Drake Baldwin,31539,drakebaldwin,aa,U,$-,,3.0,False
244,Orlando Renegades,Drew Burress,sa3028100,drewburress,aa,U,$-,,3.0,False
245,Orlando Renegades,Jac Caglianone,35041,jaccaglianone,aa,U,$-,,3.0,False
246,Orlando Renegades,Jace LaViolette,sa3036058,jacelaviolette,aa,U,$-,,3.0,False
247,Orlando Renegades,Joendry Vargas,sa3021067,joendryvargas,aa,U,$-,,3.0,False
248,Orlando Renegades,Kyle Teel,33549,kyleteel,aa,U,$-,,3.0,False
249,Orlando Renegades,Robert Calaz,sa3021078,robertcalaz,aa,U,$-,,3.0,False
250,Orlando Renegades,Sal Stewart,31505,salstewart,aa,U,$-,,3.0,False
251,Orlando Renegades,Travis Bazzana,sa3025129,travisbazzana,aa,U,$-,,3.0,False
252,Orlando Renegades,Travis Sykora,sa3023557,travissykora,aa,U,$-,,3.0,False
253,Orlando Renegades,Tyler Fitzgerald,26208,tylerfitzgerald,aa,U,$-,,2.0,False
254,Orlando Renegades,Walker Jenkins,sa3022894,walkerjenkins,aa,U,$-,,3.0,False
255,Orlando Renegades,Yoeilin Cespedes,sa3021085,yoeilincespedes,aa,U,$-,,3.0,False
256,Ryno World,George Kirby,25436,georgekirby,Arb 1,Arb 1,40%,¹,,False
257,Ryno World,Josh Jung,26299,joshjung,Arb 1,Arb 1,40%,¹,,False
258,Ryno World,Michael Harris II,25931,michaelharrisii,Arb 1,Arb 1,40%,¹,,False
259,Ryno World,Michael Kopech,17282,michaelkopech,Arb 1,Arb 1,40%,¹,,False
260,Ryno World,Alec Burleson,27615,alecburleson,aaa option,1,$3 opt,†,,False
261,Ryno World,Bailey Falter,20070,baileyfalter,aaa option,1,$3 opt,†,,False
262,Ryno World,Justin Verlander,8700,justinverlander,aaa option,1,$3 opt,†,,False
263,Ryno World,Lourdes Gurriel Jr.,19238,lourdesgurrieljr,aaa option,1,$3 opt,†,,False
264,Ryno World,Shohei Ohtani,19755,shoheiohtani,contract,1,$30.50,,,False
265,Ryno World,Ronald Acuna Jr.,18401,ronaldacunajr,contract,3,$11.75,,,False
266,Ryno World,Zac Gallen,19291,zacgallen,contract,1,$7.00,,,False
267,Ryno World,Ozzie Albies,16556,ozziealbies,contract,1,$4.85,,,False
268,Ryno World,Lawrence Butler,22542,lawrencebutler,contract,3,$4.30,,,False
269,Ryno World,Steven Kwan,24610,stevenkwan,contract,1,$3.00,,,False
270,Ryno World,Kumar Rocker,31843,kumarrocker,contract,4,$1.85,,,False
271,Ryno World,Kristian Campbell,33644,kristiancampbell,contract,7,$1.55,,,False
272,Ryno World,Casey Mize,20492,caseymize,contract,3,$1.00,,,False
273,Ryno World,Shane Bieber,19427,shanebieber,contract,3,$1.00,,,False
274,Ryno World,Luis Garcia,6984,luisgarcia,pre-arb,2,$1.00,@,,False
275,Ryno World,Luis Garcia,sa3031942,luisgarcia1,pre-arb,2,$1.00,@,,True
276,Ryno World,Luis Garcia,23735,luisgarcia2,pre-arb,2,$1.00,@,,True
277,Ryno World,Joey Bart,21524,joeybart,contract,1,$1.00,,,False
278,Ryno World,Jose Miranda,20538,josemiranda,Arb 1,Arb 1,40%,¹,,False
279,Ryno World,Jonah Heim,16930,jonahheim,aaa option,1,$3 opt,†,,False
280,Ryno World,Mitch Spence,27707,mitchspence,aaa option,1,$3 opt,†,,False
281,Ryno World,Trevor Story,12564,trevorstory,aaa option,1,$3 opt,†,,False
282,Ryno World,Walker Buehler,19374,walkerbuehler,contract,1,$1.69,,,False
283,Ryno World,Louis Varland,27691,louisvarland,contract,1,$1.00,,,False
284,Ryno World,Yennier Cano,25911,yenniercano,aaa option,1,$3 opt,†,,False
285,Ryno World,Druw Jones,sa3020676,druwjones,contract,8,$1.00,,,False
286,Ryno World,Zac Veen,27770,zacveen,contract,7,$1.00,,,False
287,Ryno World,Ben Joyce,31461,benjoyce,aa,U,$-,,3.0,False
288,Ryno World,Brodie Johnston,sa3065063,brodiejohnston,aa,U,$-,,3.0,False
289,Ryno World,Bryce Rainer,sa3066592,brycerainer,aa,U,$-,,3.0,False
290,Ryno World,Chase Burns,35333,chaseburns,aa,U,$-,,3.0,False
291,Ryno World,Ethan Salas,sa3020881,ethansalas,aa,U,$-,,3.0,False
292,Ryno World,Hagen Smith,sa3025544,hagensmith,aa,U,$-,,3.0,False
293,Ryno World,Henry Davis,29617,henrydavis,aa,U,$-,,2.0,False
294,Ryno World,Jace Jung,31437,jacejung,aa,U,$-,,3.0,False
295,Ryno World,Jacob Gonzalez,sa3022498,jacobgonzalez,aa,U,$-,,3.0,False
296,Ryno World,Jamie Arnold,sa3026225,jamiearnold,aa,U,$-,,3.0,False
297,Ryno World,Liam Hendriks,3548,liamhendriks,aa,U,$-,,3.0,False
298,Ryno World,Luisangel Acuna,26548,luisangelacuna,aa,U,$-,,3.0,False
